cluster_id,n_total,n_with_coords,n_missing,distance_mm,centroid_x,centroid_y,centroid_z,spread_x,spread_y,spread_z,metric,mirror_to
0,207,102,105,51.968819003442086,-42.84136250439812,-15.937776727894066,-7.363398845873627,16.21755218843297,21.872142463250928,31.75221828902531,mean_pairwise,left
1,72,65,7,39.10038020084351,-42.87089823942918,2.481934894048251,18.229733671362585,11.21156309290027,24.36206094186151,15.104995964799805,mean_pairwise,left
2,119,79,40,58.26552936663261,-37.46316697024092,-34.669874749606166,11.842018990577023,17.182457857409048,31.328862567527505,27.903548725357926,mean_pairwise,left
5,204,112,92,46.46578890650629,-43.30191582015583,-15.679409173982483,7.4290483338492255,12.035907291082285,26.237101741610754,23.059991360182597,mean_pairwise,left
6,216,130,86,55.25804149303918,-38.7856014416768,-3.407676252034994,-2.3044200090261606,14.761009666453221,27.06078816852087,29.95971348794712,mean_pairwise,left
7,26,11,15,14.535353027251995,-29.301027731461957,-94.12586212158203,-9.947132240642201,7.240251755703921,8.535230450159979,4.784848449372398,mean_pairwise,left
8,133,88,45,57.44525545890549,-40.20645555582914,0.7374977279793132,-4.840855895880271,14.544484725663843,41.12646806007,15.464387272879074,mean_pairwise,left
9,262,129,133,54.92899549768846,-45.601499074189235,-14.782996667909991,6.51452362814615,16.969091578700418,26.02825499594513,28.11037787301089,mean_pairwise,left
10,34,4,30,35.15141832002036,-64.81736755371094,-20.955468773841858,-8.012995455414057,2.385416178620205,13.190305130013872,19.469208780941578,mean_pairwise,left
11,91,4,87,11.128646148854012,-60.53698921203613,-24.261677742004395,-26.080680847167972,2.522897720336914,7.579651832580566,2.4181957244873082,mean_pairwise,left
12,364,180,184,55.0211304132747,-42.50941772262255,-10.039094899429216,5.268423449993134,16.081170483307076,27.99321832290451,27.434962060270742,mean_pairwise,left
13,237,68,169,46.02624046138286,-42.56057513812009,-10.610807186102166,-7.679687081014409,12.539757690902311,21.35180052872047,28.844361241602645,mean_pairwise,left
15,130,51,79,38.74057418420686,-38.963313794603536,-16.112541652339345,-5.962791985156489,10.432922379702807,19.888403829454333,20.716859515959644,mean_pairwise,left
