,7Networks_1,7Networks_2,7Networks_3,7Networks_4,7Networks_5,7Networks_6,7Networks_7
7Networks_1,21,2,4,4,3,3,3
7Networks_2,7,82,9,7,4,9,27
7Networks_3,7,2,16,6,10,6,5
7Networks_4,3,8,12,12,5,17,12
7Networks_5,16,12,13,8,51,42,39
7Networks_6,6,6,5,23,30,26,18
7Networks_7,21,66,20,25,63,63,99
