k,fold,held_out_err,var_explained
2,0,0.6226085127808488,0.37739148721915117
2,1,0.6196989946057111,0.3803010053942889
2,2,0.6116465784027905,0.38835342159720954
2,3,0.6367755884734768,0.3632244115265232
2,4,0.6131543260431496,0.38684567395685043
3,0,0.5596384783515317,0.4403615216484683
3,1,0.5381453733002678,0.4618546266997322
3,2,0.5406805459364715,0.4593194540635285
3,3,0.5645730457904798,0.43542695420952016
3,4,0.5394496359717428,0.4605503640282572
4,0,0.513120556681373,0.486879443318627
4,1,0.48723604163635903,0.512763958363641
4,2,0.4914482392868905,0.5085517607131095
4,3,0.5116322413202398,0.48836775867976023
4,4,0.49338920506170736,0.5066107949382926
5,0,0.46351922382015887,0.5364807761798411
5,1,0.44961999596389884,0.5503800040361011
5,2,0.4538562059926419,0.5461437940073581
5,3,0.46002706224919815,0.5399729377508018
5,4,0.45544012584529014,0.5445598741547099
6,0,0.4494327768192064,0.5505672231807937
6,1,0.42632034773084543,0.5736796522691545
6,2,0.43855118598286175,0.5614488140171383
6,3,0.4430826882355629,0.556917311764437
6,4,0.42897507870375906,0.5710249212962409
8,0,0.4141291187252502,0.5858708812747497
8,1,0.40306098341766644,0.5969390165823336
8,2,0.40230059138417323,0.5976994086158267
8,3,0.4195935827512279,0.5804064172487722
8,4,0.40714449456422436,0.5928555054357756
10,0,0.3956798602823748,0.6043201397176252
10,1,0.37873043198663253,0.6212695680133675
10,2,0.38034820683800047,0.6196517931619996
10,3,0.39660911588167275,0.6033908841183273
10,4,0.3875810663451565,0.6124189336548436
12,0,0.3715359217235629,0.628464078276437
12,1,0.37170905835707,0.62829094164293
12,2,0.3660905591206193,0.6339094408793807
12,3,0.3765001674970458,0.6234998325029542
12,4,0.36951594257271164,0.6304840574272883
14,0,0.3513807984377417,0.6486192015622583
14,1,0.35238207158408946,0.6476179284159105
14,2,0.34914097007462486,0.6508590299253751
14,3,0.36230698996100064,0.6376930100389994
14,4,0.3577707489803768,0.6422292510196232
16,0,0.34034058610859347,0.6596594138914065
16,1,0.3452118929947726,0.6547881070052274
16,2,0.3328441868707474,0.6671558131292525
16,3,0.34712515926293064,0.6528748407370694
16,4,0.3469599666816008,0.6530400333183992
18,0,0.33487928228721237,0.6651207177127876
18,1,0.33711350398692097,0.662886496013079
18,2,0.3183994064731602,0.6816005935268399
18,3,0.3395174085212475,0.6604825914787524
18,4,0.3370084471998311,0.6629915528001689
