method,group,n_left_out,ari,degenerate
kmeans,EL030,77,0.5687900209154702,False
kmeans,EL033,74,0.6739094387380485,False
kmeans,EL034,55,0.7115954006314353,False
kmeans,EL035,40,0.6869026848799452,False
kmeans,EL036,26,0.6659694573844813,False
kmeans,EL037,51,0.664643543156356,False
kmeans,EL038,72,0.6934990057310856,False
kmeans,EL040,30,0.6338085400541548,False
kmeans,EL042,103,0.7171508124029007,False
kmeans,EL043,74,0.6830183435949592,False
kmeans,EL045,81,0.6113925212099305,False
kmeans,EL046,86,0.6862970418818756,False
kmeans,EL048,15,0.622914325604539,False
kmeans,PAT_2868,6,0.7302845063706149,False
kmeans,PAT_3066,28,0.6997476815880173,False
kmeans,PAT_3390,18,0.5732598121711675,False
kmeans,PAT_3455,36,0.7112547832264016,False
kmeans,PAT_3780,47,0.6967705335909203,False
kmeans,PAT_3965,80,0.5434646555330738,False
kmeans,PAT_3975,67,0.7071482066941029,False
kmeans,PAT_5515,12,0.6411241371572497,False
kmeans,PAT_5533,41,0.5842839311188078,False
kmeans,PAT_6619,144,0.6502093651158846,False
kmeans,PAT_6684,77,0.5915100044452752,False
kmeans,PAT_6704,46,0.7312929519188905,False
kmeans,PAT_6854,146,0.6989529099073545,False
kmeans,PAT_6953,156,0.6867406131219176,False
hierarchical,EL030,77,0.6080624118203201,False
hierarchical,EL033,74,0.5897764004635063,False
hierarchical,EL034,55,0.6561978909543021,False
hierarchical,EL035,40,0.6257997640162284,False
hierarchical,EL036,26,0.8315149323433936,False
hierarchical,EL037,51,0.8279023709699257,False
hierarchical,EL038,72,0.9512709161151512,False
hierarchical,EL040,30,0.6711323931325999,False
hierarchical,EL042,103,0.6994792823418823,False
hierarchical,EL043,74,0.7513305398007002,False
hierarchical,EL045,81,0.7684501178905436,False
hierarchical,EL046,86,0.6987541397783381,False
hierarchical,EL048,15,0.6654320156334093,False
hierarchical,PAT_2868,6,0.839185011330576,False
hierarchical,PAT_3066,28,0.6482453639961988,False
hierarchical,PAT_3390,18,0.7666314497227594,False
hierarchical,PAT_3455,36,0.946141124163988,False
hierarchical,PAT_3780,47,0.9749496350637493,False
hierarchical,PAT_3965,80,0.5808003130905262,False
hierarchical,PAT_3975,67,0.6604756231664761,False
hierarchical,PAT_5515,12,0.620081245862694,False
hierarchical,PAT_5533,41,0.5728953644515853,False
hierarchical,PAT_6619,144,0.6642056480669198,False
hierarchical,PAT_6684,77,0.9469763440051743,False
hierarchical,PAT_6704,46,0.7335365526376613,False
hierarchical,PAT_6854,146,0.7139531534585085,False
hierarchical,PAT_6953,156,0.7209092816118181,False
cnmf,EL030,77,0.5715887457334121,False
cnmf,EL033,74,0.6125889455234321,False
cnmf,EL034,55,0.6074419952167708,False
cnmf,EL035,40,0.624608061081154,False
cnmf,EL036,26,0.6102906204618268,False
cnmf,EL037,51,0.5888674882155243,False
cnmf,EL038,72,0.6503316776685981,False
cnmf,EL040,30,0.6715579666210953,False
cnmf,EL042,103,0.7007000975332462,False
cnmf,EL043,74,0.6491784512965149,False
cnmf,EL045,81,0.5469363693387548,False
cnmf,EL046,86,0.6814378593653245,False
cnmf,EL048,15,0.648522474324387,False
cnmf,PAT_2868,6,0.660226329345851,False
cnmf,PAT_3066,28,0.6129013632416954,False
cnmf,PAT_3390,18,0.6168542356443701,False
cnmf,PAT_3455,36,0.6324765807583979,False
cnmf,PAT_3780,47,0.6116913283093309,False
cnmf,PAT_3965,80,0.501652600159771,False
cnmf,PAT_3975,67,0.637047104494749,False
cnmf,PAT_5515,12,0.6224768659263313,False
cnmf,PAT_5533,41,0.5736706587754719,False
cnmf,PAT_6619,144,0.6791294862923859,False
cnmf,PAT_6684,77,0.5817808380318682,False
cnmf,PAT_6704,46,0.6933954937432637,False
cnmf,PAT_6854,146,0.5955710093404877,False
cnmf,PAT_6953,156,0.7136323779354066,False
