method,method_label,neighbours_sharing_label,over_chance
kmeans,k-means,0.23886904761904762,2.794665552421742
hierarchical,Ward,0.28601190476190474,3.1263216109827905
cnmf,convex NMF,0.23833333333333334,2.960662525879917
