cluster_id,size,jaccard_stability,n_runs
0,13,0.6448718309402466,50
1,78,0.5284914970397949,50
2,10,0.6080000400543213,50
3,130,0.5337698459625244,50
4,108,0.5526894927024841,50
5,121,0.4755620062351227,50
6,87,0.5094413161277771,50
7,125,0.6300696730613708,50
8,76,0.529677152633667,50
9,189,0.5106506943702698,50
10,8,1.0,50
11,23,0.610118567943573,50
12,130,0.8521192073822021,50
13,8,0.891428530216217,50
14,49,0.7779932618141174,50
15,57,0.5113909840583801,50
16,66,0.5986387133598328,50
17,78,0.7059074640274048,50
18,110,0.5663052797317505,50
19,72,0.7319170832633972,50
