role,n_matched,n_primary
tag_low_f_erd,620,298
tag_beta_erd,413,370
tag_theta_tracking,275,192
tag_hga_activation,158,126
auditory,153,67
ultra_hfa,131,74
response_active,122,0
stimulus_active,58,0
NN,32,24
motor,27,27
motor_v2,27,27
auditory_v2,27,0
visual_picture,18,0
pic_stim,12,2
picture_stim,9,0
pre_response,9,0
phonological_encoding,8,0
visual_reading,6,0
deactivation,1,1
heteromodal_convergence,1,0
lexical_semantic,1,0
maintenance,1,0
none,0,1648
