channel,0.5-4.0Hz_dB,4.0-8.0Hz_dB,8.0-12.0Hz_dB,12.0-30.0Hz_dB,30.0-70.0Hz_dB,70.0-150.0Hz_dB
A_L1,50.090200381417205,39.17093075419315,36.08888172240335,29.7661987032604,21.564551509658976,14.732988735365591
A_L10,21.944786000745918,14.153326868803358,17.2463358567747,10.726938567967231,-6.311505577067453,-16.854007927878897
A_L11,22.99311379369025,15.315870850232784,18.350470233105938,12.262002964027193,-6.145106251009908,-16.17959467149191
A_L12,23.24332928975299,15.413179508015448,17.51967383190584,12.622558906120416,-5.709849179106053,-14.401027815827979
A_L2,23.25280066235094,14.929609110256342,11.157256654901552,6.815264698359554,-1.6626645177698265,-15.389177671841633
A_L3,20.796333472949897,12.486351866050656,9.618611789088366,4.711950657814082,-6.677202466310069,-17.902848069269105
A_L7,17.848031401144283,8.945597102466259,8.388302672872559,3.4051809416247534,-6.372101151984711,-11.82479041526664
A_L8,20.02699057179878,11.32657342389283,10.737565021353802,4.850785042016963,-9.976978713260294,-19.565311802882288
A_L9,21.585549389016503,12.439307172353843,12.209178294375068,7.380607794988183,-6.107333302480972,-16.36195840857685
CinG_R1,17.992471362982425,10.811848810969936,11.488280085489196,6.1262515455643705,-9.249400666790212,-20.258849383809384
CinG_R2,17.056387388066334,9.613730882314439,10.364047858362726,5.36731677031472,-10.492762736176804,-21.749487931519262
ITG_R1,20.743466797931603,14.765488218712438,14.360419013502927,7.056683490193947,-6.949005602809922,-15.824954455951474
ITG_R2,25.17438510571943,17.146145124190664,14.907373781364456,8.14820354934787,-5.185505952414669,-14.594943050153892
ITG_R3,21.986129045883096,14.950580663137382,14.566080029813268,7.222528273228859,-8.150043411715995,-16.350346092792712
ITG_R4,22.318176830429483,15.810582664582013,15.193013399507834,7.752380727158628,-7.55164840775181,-15.832158195960664
ITG_R5,23.190336639797042,18.359070832719194,17.384762257385272,9.064252780814705,-5.663640692158233,-14.514800215471928
LinG_R1,26.288734270089407,19.584137907650913,14.525221718321955,7.89945349239798,-3.3736760204089413,-14.116124368341929
LinG_R10,22.618799060813938,19.627448184886042,18.350607442682197,10.086824150360949,-6.460866816747803,-18.161567914380402
LinG_R2,28.055582333650502,26.387692977748053,19.352491086869918,8.84965040642578,-3.657754764144664,-15.625968003745712
LinG_R3,27.268927484060278,23.805808247707297,17.38435471796632,8.282523168409183,-4.724629926846655,-16.45335372752789
LinG_R4,26.83312916077444,21.134011750356727,16.51216547389052,9.224112415570088,-3.4173772364392763,-15.643477015983018
LinG_R5,26.278459159886705,19.58473115119154,14.898856024929678,8.014656517022985,-4.5019100615784975,-14.660348979010212
LinG_R6,23.140218954748043,15.81066229638646,13.432987231294145,7.466639738080488,-7.414762422722805,-18.20509942252216
LinG_R7,21.265610302818605,15.868300011711,14.12674069196931,8.085798761205684,-7.766727874791722,-18.935795438935298
LinG_R8,20.563464191404176,16.149919507826073,14.719331820085019,8.439365860243555,-7.413211904075939,-18.631212045140032
LinG_R9,20.78959473552648,17.19630918703654,15.964094898404598,8.807171352557523,-7.332241555922552,-18.688493456779696
OF_R1,22.224442682388407,13.927765901464447,12.6211961659562,7.7944712753296335,-4.098653670301603,-14.045205543059092
OF_R14,23.119493225661923,17.512977892205445,17.115754009377756,13.098585269067675,-2.275938314294192,-13.362645807532974
OF_R15,22.05951290464368,14.818600925235536,14.703784299719846,11.980435448372823,-4.429314122002712,-14.90761510622903
OF_R16,19.490613241994634,12.46260369458599,12.210481127512356,9.74711036112233,-6.3719324267574935,-16.480242022518297
OF_R2,22.5291104930333,14.801939423064487,13.314279435193233,8.183596874330016,-4.74830758348727,-14.911451106162735
OF_R3,19.453692230094045,12.938518938165572,12.165089859345073,7.131278414602057,-5.514709352268473,-15.3430926179016
OF_R4,18.088852108843895,11.576839728575308,11.395415138737473,6.093987188509255,-9.206069359929597,-18.370999134965
OF_R5,17.673270305819212,11.370154710781744,11.158623376933855,6.106501519702629,-9.718064542099773,-18.879799662361126
OF_R6,18.593608017468707,11.495853551079257,10.741790595617996,6.768553694171279,-7.475534945226279,-17.050415525370493
OF_R7,18.220556114779008,10.712771884763477,10.084635181176157,6.62408770309222,-7.975897553157452,-17.32510313004984
OF_R8,17.602663830269428,10.068934129348996,9.928821400158032,6.574014129888275,-9.434744987708903,-18.668548246394035
OF_R9,17.492284575669885,9.95794929212663,9.821932002591678,6.847626699645442,-9.566839186082019,-18.651259417535314
