k,silhouette,calinski_harabasz,davies_bouldin,n_clusters,n_singletons,min_size,max_size,size_cv
5,0.06462415666240826,100.46657494918213,3.0006276200263877,5,0,124,626,0.5332365683660637
6,0.0687487421306114,93.07487386839107,3.1797188921714326,6,0,124,415,0.3593369648240871
7,0.07393175191162592,86.19061123695435,3.0456233465075506,7,0,73,415,0.48494610780675523
8,0.0709169771452026,80.73789102160212,2.974089161241058,8,0,73,415,0.5171960416209994
9,0.07499808464919054,76.90605775584257,2.9143938988039597,9,0,73,415,0.5059338822780102
10,0.08066275909626301,73.96569160525885,2.7558683562884645,10,0,47,415,0.6083739610513045
11,0.07417625633505996,71.27343892814515,2.7962680717513417,11,0,47,236,0.4207787883809921
12,0.08116108312733986,69.04150845877957,2.7550390743413433,12,0,47,236,0.4467406023990372
13,0.08400839565378858,67.12924286061218,2.6746722938635914,13,0,45,236,0.4915733846882482
14,0.08607492006078836,65.46062994647608,2.6860625222551415,14,0,45,225,0.4479738582829396
15,0.09310739181773284,63.9792312522205,2.614681134868436,15,0,42,225,0.4794173275158279
16,0.09054230324804415,62.40883423260858,2.5699656301322857,16,0,42,190,0.41762671753668634
17,0.0943669040794153,61.05217788357125,2.520899576302763,17,0,42,190,0.43433989243176063
18,0.09944568904368804,59.594818445384576,2.4921297745670676,18,0,36,190,0.46553880216024346
19,0.10334356572720914,58.33056457313851,2.5354923915216383,19,0,36,173,0.40597386420701154
20,0.09166039504092494,56.91688013464196,2.50025757099427,20,0,36,138,0.37961685923667254
21,0.09480018377547228,55.63340960490172,2.434509602854564,21,0,36,138,0.4028061384866033
22,0.09737714155335231,54.48065882622025,2.4369553688274723,22,0,36,138,0.4098567128894125
23,0.09460207180904416,53.42929681870446,2.409443168446627,23,0,36,138,0.3870147809721353
24,0.09060219088105581,52.47542167214653,2.384606260976342,24,0,36,127,0.36310865041474794
25,0.09335170438507848,51.500577159370934,2.3687363929812206,25,0,25,127,0.3752886103660836
26,0.09381232682868414,50.60197921023343,2.3446212797619883,26,0,25,124,0.3368077260206198
27,0.09659731753216014,49.7704879861745,2.3953581713012575,27,0,25,96,0.2927571436045771
28,0.09911259328027215,48.90717982590753,2.395073443189708,28,0,25,96,0.2937624117025922
29,0.10009037476530526,48.09552314329891,2.3945505826307745,29,0,25,92,0.280938137419379
30,0.09575258734801649,47.35178148465697,2.3833278150914357,30,0,25,92,0.27620615624802664
