sample_idx,k_4,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20
0,1,0,2,5,5,8,9,5,2,2,3,2,0,3,9,1,7
1,1,0,2,3,3,5,5,8,4,5,9,3,12,5,1,18,13
2,1,0,2,3,3,5,5,8,4,5,9,3,12,5,1,18,13
3,1,0,2,3,3,5,5,8,4,5,9,3,12,5,1,18,13
4,1,0,2,3,5,8,5,5,2,2,3,3,12,5,1,1,7
5,3,1,1,3,5,5,5,8,4,5,9,3,12,5,17,18,7
6,1,0,2,3,3,5,5,8,4,5,9,3,12,5,1,18,13
7,1,0,2,3,3,5,5,8,4,5,9,3,12,5,1,18,13
8,1,0,2,3,3,5,5,8,4,5,9,3,12,5,1,18,13
9,1,0,2,3,3,5,5,8,4,5,9,3,12,5,1,18,13
10,1,0,2,3,3,5,5,8,4,5,9,3,12,5,1,18,13
11,1,0,2,3,3,5,5,8,4,5,9,3,12,5,1,18,13
12,3,1,1,5,5,8,9,5,2,2,3,4,0,3,17,1,7
13,1,0,2,4,6,4,0,2,5,1,7,9,3,4,12,7,9
14,1,0,2,4,6,4,0,2,5,1,7,9,3,4,12,7,9
15,1,0,2,4,6,4,0,2,5,1,7,9,3,4,12,7,9
16,1,0,2,4,6,4,0,2,5,1,7,9,3,4,12,7,9
17,1,0,2,4,6,4,0,8,4,1,9,3,12,5,1,18,13
18,1,0,2,3,3,5,5,8,4,5,9,3,12,5,1,18,13
19,3,1,1,3,3,5,5,8,4,5,9,3,12,5,1,18,13
20,1,0,2,3,3,5,5,8,4,5,9,3,12,5,1,18,13
21,1,0,2,3,3,5,5,8,4,5,9,3,12,5,1,18,13
22,1,0,2,3,3,5,5,8,4,5,9,3,12,5,1,18,13
23,1,0,2,3,3,5,5,8,4,5,9,3,12,5,1,18,13
24,1,0,2,3,3,5,5,8,4,5,9,3,12,5,1,18,13
25,1,0,2,3,3,5,5,8,4,5,9,3,12,5,1,18,13
26,1,0,2,3,3,5,5,8,4,5,9,3,12,5,1,18,13
27,1,0,2,3,3,5,5,8,4,5,9,3,12,5,1,18,13
28,1,0,2,3,3,5,5,8,4,5,9,3,12,5,1,18,13
29,1,0,2,3,3,5,5,8,4,5,9,3,12,5,1,18,13
30,1,0,2,3,3,5,5,8,4,5,9,3,12,5,1,18,13
31,1,0,2,3,3,5,5,8,4,5,9,3,12,5,1,18,13
32,1,0,2,3,3,5,5,8,4,5,9,3,12,5,1,18,13
33,1,0,2,3,3,5,5,8,4,5,9,3,12,5,1,18,13
34,3,1,1,5,7,1,9,10,2,2,2,4,0,3,17,1,7
35,1,0,2,4,5,8,0,5,2,2,9,3,12,5,1,18,8
36,1,0,2,4,5,8,0,5,2,2,9,3,12,5,1,18,13
37,1,0,2,4,6,4,0,2,5,1,9,3,12,5,1,18,13
38,1,0,2,4,6,4,0,2,8,1,9,3,12,5,1,18,13
39,1,0,2,4,6,4,0,2,8,1,9,3,12,5,1,18,13
40,3,1,1,5,5,8,9,5,2,2,3,4,0,3,17,1,7
41,3,1,1,5,5,8,9,5,2,2,3,4,0,3,17,1,7
42,1,0,2,4,6,8,0,5,2,2,3,2,3,3,9,5,8
43,1,0,2,4,5,8,0,5,2,2,3,2,15,3,9,5,8
44,1,0,2,4,6,4,0,2,5,1,7,9,3,4,12,7,8
45,1,0,2,4,6,4,0,2,5,1,7,9,3,4,12,7,9
