condition,band_idx,band_lo,band_hi,band,time_bin,kind,impurity_importance,importance
audio,0,1.0,4.0,1-4Hz,67,ersp,2.6171734185540434e-05,2.6171734185540434e-05
audio,0,1.0,4.0,1-4Hz,68,ersp,4.095362382633164e-06,4.095362382633164e-06
audio,0,1.0,4.0,1-4Hz,69,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,70,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,71,ersp,3.577484957592392e-05,3.577484957592392e-05
audio,0,1.0,4.0,1-4Hz,72,ersp,0.0004461140185748771,0.0004461140185748771
audio,0,1.0,4.0,1-4Hz,73,ersp,0.00019071207530938584,0.00019071207530938584
audio,0,1.0,4.0,1-4Hz,74,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,75,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,76,ersp,5.710816287553068e-05,5.710816287553068e-05
audio,0,1.0,4.0,1-4Hz,77,ersp,8.424620730281372e-06,8.424620730281372e-06
audio,0,1.0,4.0,1-4Hz,78,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,79,ersp,7.841109129164615e-05,7.841109129164615e-05
audio,0,1.0,4.0,1-4Hz,80,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,81,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,82,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,83,ersp,4.982927092596928e-05,4.982927092596928e-05
audio,0,1.0,4.0,1-4Hz,84,ersp,3.324722006992978e-05,3.324722006992978e-05
audio,0,1.0,4.0,1-4Hz,85,ersp,0.00013083943677506845,0.00013083943677506845
audio,0,1.0,4.0,1-4Hz,86,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,87,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,88,ersp,0.00012951464593685157,0.00012951464593685157
audio,0,1.0,4.0,1-4Hz,89,ersp,4.621985125156304e-05,4.621985125156304e-05
audio,0,1.0,4.0,1-4Hz,90,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,91,ersp,0.00024489441985206387,0.00024489441985206387
audio,0,1.0,4.0,1-4Hz,92,ersp,1.8275473513428863e-05,1.8275473513428863e-05
audio,0,1.0,4.0,1-4Hz,93,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,94,ersp,4.418699292934156e-05,4.418699292934156e-05
audio,0,1.0,4.0,1-4Hz,95,ersp,1.7144000994235687e-05,1.7144000994235687e-05
audio,0,1.0,4.0,1-4Hz,96,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,97,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,98,ersp,1.3174191209399473e-07,1.3174191209399473e-07
audio,0,1.0,4.0,1-4Hz,99,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,100,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,101,ersp,1.3811770184796502e-05,1.3811770184796502e-05
audio,0,1.0,4.0,1-4Hz,102,ersp,4.045726418419276e-05,4.045726418419276e-05
audio,0,1.0,4.0,1-4Hz,103,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,104,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,105,ersp,1.3442504646452433e-06,1.3442504646452433e-06
audio,0,1.0,4.0,1-4Hz,106,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,107,ersp,1.971064703487413e-05,1.971064703487413e-05
audio,0,1.0,4.0,1-4Hz,108,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,109,ersp,0.00014099390681613104,0.00014099390681613104
audio,0,1.0,4.0,1-4Hz,110,ersp,0.0001561106428002928,0.0001561106428002928
audio,0,1.0,4.0,1-4Hz,111,ersp,0.00011980467054183826,0.00011980467054183826
audio,0,1.0,4.0,1-4Hz,112,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,113,ersp,0.00012870178775859392,0.00012870178775859392
audio,0,1.0,4.0,1-4Hz,114,ersp,0.00016664894944466976,0.00016664894944466976
audio,0,1.0,4.0,1-4Hz,115,ersp,5.951226185982682e-05,5.951226185982682e-05
audio,0,1.0,4.0,1-4Hz,116,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,117,ersp,0.00027010066152044157,0.00027010066152044157
audio,0,1.0,4.0,1-4Hz,118,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,119,ersp,4.916353340292804e-05,4.916353340292804e-05
audio,0,1.0,4.0,1-4Hz,120,ersp,2.7551229313494772e-05,2.7551229313494772e-05
audio,0,1.0,4.0,1-4Hz,121,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,122,ersp,1.5378880414925826e-05,1.5378880414925826e-05
audio,0,1.0,4.0,1-4Hz,123,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,124,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,125,ersp,8.844696640657246e-05,8.844696640657246e-05
audio,0,1.0,4.0,1-4Hz,126,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,127,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,128,ersp,0.0002248787052799168,0.0002248787052799168
audio,0,1.0,4.0,1-4Hz,129,ersp,7.476907725600799e-05,7.476907725600799e-05
audio,0,1.0,4.0,1-4Hz,130,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,131,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,132,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,133,ersp,3.1362676427544676e-05,3.1362676427544676e-05
audio,0,1.0,4.0,1-4Hz,134,ersp,3.810532899282783e-05,3.810532899282783e-05
audio,0,1.0,4.0,1-4Hz,135,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,136,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,137,ersp,9.190802347386813e-05,9.190802347386813e-05
audio,0,1.0,4.0,1-4Hz,138,ersp,8.11439119607152e-05,8.11439119607152e-05
audio,0,1.0,4.0,1-4Hz,139,ersp,6.844638077691227e-05,6.844638077691227e-05
audio,0,1.0,4.0,1-4Hz,140,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,141,ersp,6.065487824397245e-05,6.065487824397245e-05
audio,0,1.0,4.0,1-4Hz,142,ersp,2.7037228108924472e-05,2.7037228108924472e-05
audio,0,1.0,4.0,1-4Hz,143,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,144,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,145,ersp,0.00024484145008383406,0.00024484145008383406
audio,0,1.0,4.0,1-4Hz,146,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,147,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,148,ersp,1.0749398962638127e-19,1.0749398962638127e-19
audio,0,1.0,4.0,1-4Hz,149,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,150,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,151,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,152,ersp,4.873871801816139e-05,4.873871801816139e-05
audio,0,1.0,4.0,1-4Hz,153,ersp,0.00015914989097915672,0.00015914989097915672
audio,0,1.0,4.0,1-4Hz,154,ersp,0.00017084138925688522,0.00017084138925688522
audio,0,1.0,4.0,1-4Hz,155,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,156,ersp,5.518748509742131e-05,5.518748509742131e-05
audio,0,1.0,4.0,1-4Hz,157,ersp,3.963914939805715e-05,3.963914939805715e-05
audio,0,1.0,4.0,1-4Hz,158,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,159,ersp,0.0,0.0
