component,n,bootstrap_J,pass_bootstrap,init_J,pass_init,patient_max,pass_patient,interpret
0,33,0.356,False,0.568,False,0.177,True,False
1,77,0.475,False,0.687,False,0.404,True,False
2,110,0.487,False,0.726,False,0.194,True,False
3,49,0.298,False,0.391,False,0.359,True,False
4,54,0.408,False,0.625,False,0.762,False,False
5,93,0.38,False,0.575,False,0.161,True,False
6,77,0.167,False,0.289,False,0.166,True,False
7,30,0.332,False,0.427,False,0.604,False,False
8,44,0.247,False,0.251,False,0.226,True,False
9,40,0.393,False,0.652,False,0.373,True,False
10,67,0.453,False,0.605,False,0.23,True,False
11,76,0.199,False,0.321,False,0.199,True,False
12,60,0.232,False,0.296,False,0.157,True,False
13,54,0.277,False,0.464,False,0.182,True,False
14,56,0.518,False,0.815,True,0.388,True,False
15,40,0.456,False,0.787,True,0.292,True,False
16,98,0.48,False,0.832,True,0.316,True,False
17,52,0.518,False,0.823,True,0.582,False,False
18,106,0.411,False,0.631,False,0.56,False,False
19,50,0.316,False,0.556,False,0.124,True,False
