component,n,bootstrap_J,pass_bootstrap,init_J,pass_init,patient_max,pass_patient,interpret
0,34,0.462,False,0.872,True,1.0,False,False
1,21,0.366,False,0.682,False,1.0,False,False
2,60,0.395,False,0.654,False,0.217,True,False
3,33,0.274,False,0.408,False,0.394,True,False
4,55,0.467,False,0.748,False,0.564,False,False
5,37,0.275,False,0.392,False,0.405,True,False
6,41,0.205,False,0.306,False,0.463,True,False
7,5,0.536,False,0.745,False,1.0,False,False
8,156,0.282,False,0.43,False,0.218,True,False
9,25,0.335,False,0.475,False,0.56,False,False
10,70,0.333,False,0.537,False,0.257,True,False
11,27,0.569,False,0.942,True,0.963,False,False
12,9,0.311,False,0.243,False,1.0,False,False
13,139,0.339,False,0.551,False,0.424,True,False
14,3,0.526,False,1.0,True,1.0,False,False
15,16,0.258,False,0.529,False,0.938,False,False
16,12,0.57,False,0.867,True,0.917,False,False
17,29,0.545,False,0.842,True,1.0,False,False
18,5,0.449,False,0.729,False,1.0,False,False
19,20,0.388,False,0.806,True,0.9,False,False
20,44,0.55,False,0.937,True,0.932,False,False
21,41,0.389,False,0.733,False,0.927,False,False
22,25,0.513,False,0.829,True,0.56,False,False
23,97,0.254,False,0.43,False,0.196,True,False
24,63,0.256,False,0.384,False,0.302,True,False
25,1,0.633,True,0.933,True,1.0,False,False
26,27,0.441,False,0.71,False,0.926,False,False
27,21,0.367,False,0.61,False,0.286,True,False
28,133,0.239,False,0.382,False,0.226,True,False
29,17,0.172,False,0.195,False,0.235,True,False
