cluster_id,size,jaccard_stability,n_runs
0,62,0.8913379311561584,50
1,108,0.9881793260574341,50
2,19,0.7354385852813721,50
3,40,0.9123846888542175,50
4,37,0.954774796962738,50
5,138,0.46505236625671387,50
6,72,0.7759937047958374,50
7,97,0.5271391272544861,50
8,62,0.8383606672286987,50
9,19,0.43157896399497986,50
10,119,0.9553226232528687,50
11,233,0.6783202290534973,50
12,31,0.6957849264144897,50
13,54,0.523004949092865,50
14,26,0.49243074655532837,50
15,260,0.5032063722610474,50
16,72,0.7227230072021484,50
17,25,0.8154000043869019,50
18,64,0.5108531713485718,50
