,aud|1-4Hz,aud|4-8Hz,aud|8-13Hz,aud|13-20Hz,aud|20-30Hz,aud|30-50Hz,aud|50-70Hz,aud|70-100Hz,aud|100-130Hz,aud|130-170Hz,aud|170-220Hz,aud|220-270Hz,aud|270-320Hz,aud|320-360Hz,aud|360-400Hz,pic|1-4Hz,pic|4-8Hz,pic|8-13Hz,pic|13-20Hz,pic|20-30Hz,pic|30-50Hz,pic|50-70Hz,pic|70-100Hz,pic|100-130Hz,pic|130-170Hz,pic|170-220Hz,pic|220-270Hz,pic|270-320Hz,pic|320-360Hz,pic|360-400Hz,rea|1-4Hz,rea|4-8Hz,rea|8-13Hz,rea|13-20Hz,rea|20-30Hz,rea|30-50Hz,rea|50-70Hz,rea|70-100Hz,rea|100-130Hz,rea|130-170Hz,rea|170-220Hz,rea|220-270Hz,rea|270-320Hz,rea|320-360Hz,rea|360-400Hz
17Networks_1,0.0005609737444107707,0.0005234481423418016,-0.0010768930458931565,-0.0026513841326893904,-0.000721084336021501,-0.0004736564895265563,-0.00016413273608643304,0.000442859110690022,0.002779212609020573,0.0002621581150815085,0.0014519265648732208,-8.208357256180364e-05,-0.0008955180784610521,0.000690759807051324,7.729351246788046e-05,0.00014970373862813007,-0.0004327970271395153,-0.00020196505306556455,0.00045398481918836444,-0.001984195576025589,0.0003936199091839268,-0.0005691571576081309,0.0029331639114726733,0.005358672504690077,0.001983132746520361,-0.00011676737755356159,-0.0016462133444946844,-0.001007744630598956,-0.0013899928702433366,-0.00011046012139327618,0.0004553013629381559,0.001021766961193977,0.0011572976100942141,0.0001471301850274779,0.0014124418672689899,0.0008834507656575863,-0.00015135677040483807,-3.9513181454478016e-05,-0.0008357217180661438,-0.0007354326393658442,0.0006050879503884473,0.0002503607051825854,-0.0008029365625000635,-0.0005707358353703432,0.0011733158496404223
17Networks_10,0.0023021814981590283,0.001741454414075532,0.0003853545919208544,-0.0017655352341860082,-0.0009700122986826881,0.001298966047500856,-0.002424520178832994,-0.0018281725652289885,0.00038356705252601985,-0.00033028871511503574,0.0006175651346968851,-0.0011257885020760404,-0.000924570989054461,0.00030442784897207517,0.002226139089787164,0.0007541120742773079,-0.00040021365190184133,0.000735651740833903,-0.0014527962958386649,0.001228103051939986,0.00020636641625320336,-0.003481833615763851,-0.0008834374598740469,-0.00038738687129308193,0.0020320757294679057,0.0017947834185047461,0.0017481717954364972,0.0024307074138502243,-0.0014013059248323353,-0.002249494507072769,0.00033877818606925704,-0.00014180701162224522,-0.0013056206427527201,-0.0008011897872451948,0.0013863757560573264,0.0007404057250136813,-0.0005299423424151774,0.0006623966651417581,-0.00019193203012807377,0.0030895574657956648,0.0020103402380923147,-0.0007377252717774901,0.0004040639895154786,0.00011391574519685061,-0.0038240890719178997
17Networks_11,0.0004279145560355062,0.0013728849392273905,0.0008563175484747652,-0.0010876881274796738,0.0005280475890447148,0.00011003223219846425,-0.0013021423338283595,0.0028071717481416123,0.0019561065308779974,-8.715129741177967e-05,-0.002169224274094253,0.00047979582241134224,0.0002811773672847664,-0.0009909185360250253,-8.609238374111008e-05,-0.0012335220909767113,0.0004571043591170177,1.2014805766383021e-05,-0.002190261966268664,0.0009772327039983954,-0.0026017443346292727,0.0020056082130391895,0.001064073257902524,0.0014077072943155168,0.0008929071322049912,-0.0007869481931725759,-0.000225472817824263,0.00016398065402881463,0.0003424925080122406,-0.00014357904539035322,-0.0017321473292930612,1.212420501319612e-05,0.0016827736414780836,-0.0001256723163771807,-0.0012386207887196236,-0.0022369719508462255,-0.000516497279372258,0.0007439919539591347,0.00012852455022281545,-0.0009138174977602137,0.00039649508843795663,5.017694468815339e-05,3.775095772794284e-05,0.0012390523211419932,0.0007649799240703488
17Networks_12,-0.001991217381589748,-8.45782701260168e-05,0.0002835125911795574,-0.002052058857921393,-0.0025003898167885318,0.0029694214294183232,0.002495317517593499,-0.0031388269904257327,-0.0032066040441077665,-0.0005321295166689059,0.0008198168671803323,0.0003952769801145717,-0.003673296184695881,0.00032095569023052605,-0.0030708247506281575,-0.0014522283559511942,-0.0008626686838157238,0.0007161343689618336,3.1513123801918764e-05,-0.0013665364026791522,0.0014071655405817575,0.0016980675836896178,0.0001502522041981099,-0.0009323851008004023,-0.001932740219206303,-0.0037549234111110617,0.0002986228157362289,-0.0019659635678800002,0.0030096205718649948,0.000511880588599622,-0.0019957780297965135,-0.001988709232984019,-0.00153199790355257,-0.00025107992211236013,-0.0007927547773614346,-0.0028203915390734888,0.003818618723715707,-0.00032939339101602293,0.0018178268564812024,0.0013863600833366914,-0.001550032608918336,-0.0001546942359806247,0.0006478398633769864,0.0025120151011650176,0.0008966446591469762
17Networks_13,-0.00032334284360652145,-0.0016876794735090953,0.0007328611602476299,0.0017172216175031449,0.00124540212154582,0.0007114751020038453,-0.0014390552371676489,-0.0035269655072201877,-0.0005966868846777022,0.002729061733271235,-0.0018778428313664893,-0.0010469722626391866,-0.0019119600757862365,0.0002747437912118099,-0.0029841081846177686,-0.001174721217301351,-0.0011676315021861526,-0.0015685518834973485,0.0006305830725111571,0.0041554858019927894,-0.0001559107019096867,-0.0023966353857820624,-0.004754175924619138,-0.0016073069145420545,-0.004572568137734929,0.000685537983354538,0.002668029538121885,0.0007421157323296704,0.004281664429647817,0.0026018276179915656,0.0031990875450269686,0.0010617402574226028,-0.0005825295698419147,0.0010445031631786548,0.0010885277715119892,-0.00046347376770801695,-0.0011489579961249346,0.0012664940250680812,-0.0008414904678182444,0.0009455511436262484,-0.0006715745983969868,0.0003141879072888072,-0.0019992070428131578,0.0015451906054696042,0.002423467789642813
17Networks_14,0.0016426186727439918,0.0012640381531549107,-0.0007038478983178305,-0.002373038651207026,0.0014957178755677124,0.0014363676199221013,-0.0021634318986012654,0.004063015616742609,0.002662699414766574,0.0023825159236225053,0.003681834381503369,-0.0012855649142914862,-0.001367278249384468,0.0020340560664741346,0.001284770665977431,0.0013858762840741972,0.0001707690620677571,-0.0018211707165912965,-0.00016315383367452696,-0.0009628700798510984,-0.0013827484846917486,-3.0974090486987625e-05,-0.0015798078931020588,-0.0002988573470391991,-0.0006259533884585002,0.0012593001315011568,0.0010914785173805814,0.0022786793046994974,-0.003658331606545504,-0.0005367621136525596,-0.0002761863498222399,0.0002259138349670729,0.0009056109411378808,-0.0020416025644916544,-0.0039045195649962255,0.0004649514561805995,0.0023914372934940196,0.0008681855857536162,0.0005753428471491626,-0.002751172656558823,-0.0012081368563947043,0.0018326263677347903,0.0003391858633208731,-0.0038826605211436348,-0.0010597642340902775
17Networks_15,-0.0012664744554163995,0.0002626550416319486,0.001060402604149613,0.0025463232821697304,0.0035253393774214606,0.00013048292199890657,-0.0024638479828208945,0.00027835378386608674,-0.00015709281191194672,0.000561004786939678,0.00032087257705140973,-0.0002646130769603622,-4.7360878233398034e-05,-0.003361861092123887,0.0007001689874737823,-0.0011769978169509628,-0.00030559517398983315,-0.0008886054776604609,-0.0008279674400204026,-0.003427995979702776,0.0016777032465302066,-0.0009463226293615832,0.002484311843784473,-0.0012100640767132187,0.0028869646874344346,0.0005176495834029099,0.002041461934326675,0.00020479373381455298,-0.00019598789231026916,0.0014403315516000972,0.002536982523806251,0.0021458777506745464,0.0012016190899019682,2.8037167116588176e-05,-0.00039973461771877,0.00010306640076265392,-0.00039981246386764784,-0.0013325630044312708,-0.0024624207368283664,0.0009845430690056027,0.0016962750636880057,0.0005930124772996415,0.0010071012365507799,0.000627948976191272,-0.0027056868944894557
17Networks_16,0.0011212268521255352,0.0009348618779151825,0.0006045448534192051,-0.0015715683505035426,-0.00042530272937607436,0.00033267222212888023,0.00036556674277334007,-0.002324395140407651,-0.003453476085158961,-0.0018988446281374713,-0.00422810491696753,0.0006958222669980876,-0.0013086876585084305,0.0010368310578491857,0.002107847791027574,0.0005760130277149086,0.00024079239294273793,0.0006329617469696464,0.0025446666732872286,-0.0002442466099812806,-0.0010392587249502204,0.0015154959542814748,-0.0024347443589923974,-0.003603526976544855,-0.00025427846798552786,0.005678427886271551,-0.0013623453949980508,-0.003496120894912537,0.001449004688256602,0.0006448603885586925,0.0012210071863269444,-0.0002584541195885806,-0.0005831504166035839,-0.0009979789553137275,-0.000697975765246796,0.0002228236912383867,-0.0033891838304273727,-1.0354418829358383e-05,0.001925292157846922,0.00045885696809133236,0.0009907417629443204,0.0001961642102733995,0.0024638762341872176,-0.0014638242310565448,0.002703448393907922
17Networks_17,0.000551445873393275,-0.0014312382583596085,0.000667595604817085,-5.000566290231046e-05,-0.005757266882282325,0.005578639646929154,-0.002109055738498933,-0.0020481065779484474,-0.001206253134651386,0.0012917109471074697,-0.0024574130441507853,-0.0018309008420747178,-0.0006792285885039141,0.002709232769077026,0.0007024698451284459,0.0027387525076681654,0.003339628842684541,0.0009860121011315195,0.0104393856622582,0.0023093248665352474,-0.002478399124034596,-0.0006476857737368428,-0.006191636675566063,-0.0028137826886340824,-0.0007780655010435996,-0.0036882505598999802,0.00020406968808138896,0.0016822370081747311,-0.00038004027748617504,-0.0019347732742180683,0.0010504823607708135,0.0014622817592810115,0.0010929965894776058,-0.0024276965873397424,-0.000632595104697549,-0.0001868038517691258,0.0004262144080384638,-0.0020239119426455426,-0.000562720922711522,0.00022650607444675257,-0.002765941513202365,0.00013266576688557148,0.0009294695109460374,0.001852409776067525,-0.003225066023483051
17Networks_2,0.001472819676364628,4.176569907538813e-05,-0.0014255196662355664,-0.0005407517901514958,-0.0007619932664849259,0.00016111855674773962,6.5211685207206e-07,0.0001780602819726306,0.001437254764395525,-0.0006135462875780831,0.0007783702489472569,0.0002526859456060353,0.0018635040669042209,-0.0014446145583028869,-0.0014500670255516161,0.000753422999952982,-4.635547325024155e-06,-6.980131068310303e-05,-0.0008353406787103484,0.000558199044194939,0.0024267010196511243,-5.315004024469554e-05,0.00023622486298226876,0.001234538206169175,0.0012699445345819708,0.0010819452117609087,-0.0014998668676700245,-0.0001499436764524476,2.457400184332085e-05,0.0005043937889626643,-0.0007621076706652948,-8.61390691316249e-05,0.0007922173677435453,0.000362218265934951,0.0004246578685575531,-0.0002932698034356052,-0.0021870190733092884,0.0010412771838572792,0.0006774972749487437,-0.0008364413836648791,0.0005944169086388653,-0.0008543190911732643,0.0002003875981534801,-0.0005500233315635772,9.328505125400418e-07
