k,cluster,condition,n,onset_pct,crosses,polarity,onset_stim_pct,onset_resp_pct,resp_carryover,peak_pct,peak_db,peak_stim_pct,peak_stim_db,peak_resp_pct,peak_resp_db,mean_db,auc_post_go
5,0,audio,294,2.4999999999999996,True,activation,2.4999999999999996,63.166666666666664,False,4.166666666666667,1.4168521509423446,4.166666666666667,1.4168521509423446,76.83333333333333,0.9606856340922567,0.6212983984217262,0.5789242778156672
5,0,picture,294,68.16666666666667,True,activation,,68.16666666666667,False,79.5,0.7357340327334958,2.1666666666666665,-0.1927127507217284,79.5,0.7357340327334958,0.1649801524413733,0.3917718595509201
5,0,reading,294,72.83333333333333,True,activation,,72.83333333333333,False,82.5,0.7681316567290271,48.49999999999999,-0.1594068074335984,82.5,0.7681316567290271,0.13464813689393804,0.3159507234756696
5,1,audio,297,68.16666666666667,True,activation,,68.16666666666667,False,68.5,0.5471821176593729,4.166666666666667,0.3169198139842681,68.5,0.5471821176593729,0.18855327276767275,0.26408757123223553
5,1,picture,297,5.833333333333333,True,activation,5.833333333333333,50.166666666666664,True,28.5,0.9080003354673334,28.5,0.9080003354673334,54.83333333333333,0.6464622764885802,0.5927760030679726,0.4669786322936598
5,1,reading,297,2.1666666666666665,True,activation,2.1666666666666665,,False,2.4999999999999996,0.6583111444417613,2.4999999999999996,0.6583111444417613,76.83333333333333,0.397882232727069,0.21402115734835025,0.18242917318841448
5,2,audio,228,,False,suppression,,,False,24.5,-0.36952750355805875,24.5,-0.36952750355805875,95.83333333333333,-0.25114839118415194,-0.08561722688289457,-0.022291654842866427
5,2,picture,228,,False,activation,,,False,71.16666666666667,0.32461481921225704,17.5,-0.2097188634297549,71.16666666666667,0.32461481921225704,0.04820489593843858,0.11065706323103076
5,2,reading,228,2.4999999999999996,True,activation,2.4999999999999996,56.49999999999999,False,75.5,0.928647420655021,2.833333333333333,0.7855721877861295,75.5,0.928647420655021,0.5187134729151268,0.5612097922447881
5,3,audio,346,18.833333333333332,True,suppression,18.833333333333332,50.166666666666664,True,41.83333333333333,-0.9466806253272976,41.83333333333333,-0.9466806253272976,50.166666666666664,-0.6859965819227536,-0.34766056343306273,-0.17410032530417519
