k,silhouette,calinski_harabasz,davies_bouldin,n_clusters,n_singletons,min_size,max_size,size_cv
5,0.10050743818283081,183.06180792720485,2.195799313598003,5,0,173,762,0.6500015559046151
6,0.07963927090167999,161.0507448860473,2.4968225028501347,6,0,165,507,0.43831385765071146
7,0.08311817795038223,143.65933228117947,2.3837144049488512,7,0,134,506,0.5018011177035349
8,0.07724624872207642,132.06501232226228,2.4460204918893096,8,0,63,401,0.4765332092829949
9,0.06788072735071182,122.24696961849885,2.466579518477695,9,0,34,396,0.596622666789661
10,0.07375375926494598,114.44332789317406,2.3152076081867734,10,0,54,293,0.4068669890871073
11,0.08289340883493423,107.88997654649768,2.285154575331753,11,0,37,358,0.6081775539744014
12,0.08057477325201035,101.91948447647258,2.341873138328178,12,0,15,363,0.688665312412214
13,0.0758204236626625,97.3506000693285,2.3132872006959717,13,0,36,287,0.5594715321559643
14,0.08580275624990463,94.01048304681316,2.287661091765052,14,0,29,273,0.5650403408159823
15,0.09284762293100357,89.65737758298432,2.1536548351253204,15,0,15,273,0.659229865490653
16,0.08887974917888641,87.7158626120879,2.166669977181815,16,0,3,253,0.653800037035185
17,0.09248922765254974,83.96130076591126,2.1504966094186724,17,0,12,241,0.6816819364117666
18,0.08375577628612518,81.77253419416867,2.2433133314058353,18,0,15,244,0.6265823629149465
19,0.08890664577484131,79.36155180297963,2.259144493722205,19,0,24,282,0.6574603723524561
20,0.09056544303894043,77.35311855952473,2.140243687518347,20,0,3,274,0.8291950788995106
21,0.09145103394985199,76.66482082563073,2.1290537828678153,21,0,3,240,0.6659497232716027
22,0.08951903134584427,74.09563633882382,2.1051092036527614,22,0,3,210,0.6804266030504755
23,0.0918230414390564,72.84535289898538,2.128335275243913,23,0,3,199,0.6932840826376035
24,0.09181517362594604,71.52987454970724,2.1528708772590615,24,0,3,166,0.6097058756971055
25,0.09199867397546768,68.91293843552182,2.116487182358719,25,0,10,161,0.669848144606398
26,0.09635374695062637,68.2226616350685,2.0015268246830917,26,0,3,274,0.8636885262485773
27,0.10447865724563599,67.28359414979715,2.045241885816003,27,0,3,239,0.7787035882049215
28,0.10822060704231262,65.78401578109234,2.0935169991580627,28,0,3,244,0.7750338063732025
29,0.10080093145370483,64.52711151452459,2.0210449217841155,29,0,3,144,0.6654943023869059
30,0.10030250251293182,63.7094183365994,2.08791406999752,30,0,3,151,0.6170654581136084
