k,var_explained,sizes,frac_dominant,frac_no_majority,median_top_weight
5,0.3826784053746931,282 342 249 461 354,0.4259478672985782,0.5740521327014217,0.46841834698661006
6,0.3932570254654284,232 180 315 201 475 285,0.32582938388625593,0.6741706161137441,0.42905782749713306
7,0.40504496298366444,189 224 163 195 216 258 443,0.2778436018957346,0.7221563981042654,0.3959804494065069
8,0.41200676282247806,217 153 188 155 327 181 182 285,0.23281990521327015,0.7671800947867299,0.39149169516377647
9,0.4035542744115661,165 173 318 208 180 153 269 87 135,0.20912322274881517,0.7908767772511849,0.37764134534445637
10,0.40665501022348505,129 225 199 158 85 148 147 127 305 165,0.15699052132701422,0.8430094786729858,0.3630148187120994
11,0.39105108117984533,187 62 146 206 128 78 144 156 125 152 304,0.14336492890995262,0.8566350710900474,0.35547522584192504
12,0.36620301673009903,128 83 191 146 79 129 196 157 131 168 167 113,0.13744075829383887,0.8625592417061612,0.34715883630552113
13,0.33002278748080005,205 187 132 126 105 102 73 114 126 72 104 134 208,0.13329383886255924,0.8667061611374408,0.33854564058689385
14,0.3080284329976294,98 77 102 123 84 101 187 146 135 47 90 110 181 207,0.12618483412322276,0.8738151658767772,0.3364046443494607
15,0.2695124474437418,93 97 150 50 115 138 133 77 82 104 103 105 140 217 84,0.11492890995260663,0.8850710900473934,0.3280613798044617
16,0.22973273298909835,119 103 148 161 70 95 88 104 133 54 124 61 126 71 103 128,0.11552132701421801,0.884478672985782,0.3224278624739981
17,0.1829778705257975,48 131 97 73 111 130 111 147 101 106 94 97 110 109 65 86 72,0.10545023696682465,0.8945497630331753,0.317781420580992
18,0.15396696577451896,87 56 77 162 67 152 89 127 83 90 48 102 87 55 94 165 77 70,0.11315165876777251,0.8868483412322274,0.31854098005315945
19,0.10020542330128956,92 76 107 78 143 58 70 117 76 121 79 46 88 47 66 64 108 122 130,0.10722748815165876,0.8927725118483413,0.3081461617654362
20,0.015490444043378071,61 64 81 116 97 75 167 102 49 49 55 104 89 76 75 133 99 68 79 49,0.12026066350710901,0.879739336492891,0.32200400948445307
21,-0.06059895690091732,79 45 131 68 48 69 117 85 91 88 73 61 65 93 109 49 113 88 66 75 75,0.1386255924170616,0.8613744075829384,0.32721784730587766
22,-0.04290488884943189,31 50 62 156 62 76 88 71 57 101 42 91 115 69 76 82 47 118 67 57 100 70,0.12322274881516587,0.8767772511848341,0.30686249559039636
23,-0.19526993367197965,66 75 82 79 55 100 57 118 90 69 68 44 86 66 75 59 78 86 69 61 102 47 56,0.14040284360189573,0.8595971563981043,0.3298952430649519
24,-0.2653876692288788,83 79 72 45 161 84 58 45 65 48 82 87 68 63 44 71 52 82 109 45 86 40 74 45,0.13033175355450238,0.8696682464454977,0.3174027422462268
25,-0.34838593401175455,64 68 65 68 42 46 62 46 70 51 117 54 68 88 61 60 46 81 86 65 87 74 50 86 83,0.12085308056872038,0.8791469194312796,0.3207560434399141
26,-0.42229851829765974,48 60 66 77 48 104 74 64 65 52 39 82 76 88 56 47 89 73 58 61 50 62 40 71 83 55,0.13092417061611375,0.8690758293838863,0.3248817142396838
27,-0.46527369752245695,113 80 40 66 48 59 44 48 61 76 59 114 71 51 87 45 50 68 64 85 89 46 40 48 37 55 44,0.14218009478672985,0.8578199052132701,0.32861799300567207
28,-0.5425178957117629,46 57 24 87 99 41 48 41 62 82 52 64 85 42 61 63 72 39 85 56 64 33 111 64 46 79 38 47,0.1226303317535545,0.8773696682464455,0.3177826791794084
29,-0.6481508715863935,65 56 57 35 39 74 108 44 82 93 41 61 47 47 30 44 45 30 78 92 61 56 78 64 63 43 60 42 53,0.1504739336492891,0.8495260663507109,0.3144535193794492
30,-0.7608652679450933,61 42 44 52 62 46 62 53 71 47 67 33 60 27 66 84 39 58 39 63 74 44 91 68 67 82 59 48 39 40,0.1338862559241706,0.8661137440758294,0.3128233883176493
