cluster_id,size,jaccard_stability,n_runs
0,323,0.5861528515815735,50
1,100,0.647640585899353,50
2,3,1.0,50
3,192,0.6072630286216736,50
4,10,0.9405397772789001,50
5,1065,0.5517251491546631,50
