k,mean_jaccard,min_jaccard,max_jaccard,n_runs,subsample_frac
5,0.610154527425766,0.42348164319992065,0.828508734703064,50,0.8
6,0.5838397542635599,0.43523067235946655,0.8136220574378967,50,0.8
7,0.6273515948227474,0.4041130244731903,0.8888277411460876,50,0.8
8,0.6190525703132153,0.3967742621898651,0.8627954125404358,50,0.8
9,0.6308239234818352,0.347600519657135,0.9458107352256775,50,0.8
10,0.6489815294742585,0.3273153007030487,1.0,50,0.8
11,0.6655618033625863,0.32603853940963745,1.0,50,0.8
12,0.6392185563842455,0.3616079092025757,1.0,50,0.8
