cluster_id,size,jaccard_stability,n_runs
0,80,0.8521835207939148,50
1,142,0.40118131041526794,50
2,52,0.6985514163970947,50
3,117,0.6256612539291382,50
4,50,0.7645531296730042,50
5,131,0.7178369164466858,50
6,267,0.4411884844303131,50
7,79,0.8231310844421387,50
8,158,0.4839959740638733,50
9,127,0.5687969326972961,50
10,63,0.7532863616943359,50
