sample_idx,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20
0,0,2,4,1,9,9,15,14,8,16,16
1,0,2,4,1,9,9,15,14,8,16,16
2,0,2,4,1,9,9,15,14,8,16,16
3,0,2,4,1,9,9,15,14,8,16,16
4,0,2,4,1,9,9,15,14,8,16,16
5,0,2,4,1,9,9,15,14,8,16,16
6,0,8,4,1,9,9,15,1,11,16,19
7,0,2,4,1,9,9,15,14,8,16,16
8,0,2,4,1,9,9,15,14,8,16,16
9,0,2,4,1,9,9,15,14,8,16,16
10,0,2,4,1,9,9,15,14,8,16,16
11,0,2,4,1,9,9,15,14,8,16,16
12,0,2,4,1,9,9,15,14,8,16,16
13,0,2,4,1,9,9,15,14,8,16,16
14,0,8,4,11,9,0,7,14,4,3,19
15,0,2,4,1,9,9,7,14,4,3,19
16,0,2,4,1,9,9,7,14,4,3,19
17,3,3,2,8,1,8,4,12,13,4,4
18,3,3,2,8,1,8,4,12,13,4,4
19,0,2,4,1,9,9,15,14,8,16,16
20,0,2,4,1,9,9,15,14,8,16,16
21,0,2,4,1,9,9,15,14,8,16,16
22,7,8,10,11,7,0,13,1,11,0,9
23,0,8,10,11,7,0,15,1,11,0,18
24,0,8,4,11,9,0,15,1,11,0,18
25,0,2,4,1,9,9,15,14,8,16,16
26,0,2,4,1,9,9,15,14,8,16,16
27,0,2,4,1,9,9,15,14,8,16,16
28,0,2,4,1,9,9,15,14,8,16,16
29,0,2,4,1,9,9,15,14,8,16,16
30,0,2,4,1,9,9,15,14,8,16,16
31,7,8,10,11,7,0,13,3,0,18,9
32,0,2,4,1,9,9,7,14,4,3,19
33,0,2,4,1,9,9,7,14,4,3,19
34,0,2,4,1,9,9,7,14,4,3,19
35,7,8,10,11,7,0,7,1,4,18,9
36,7,8,10,11,7,0,7,14,4,18,19
37,0,2,4,1,9,9,7,14,4,3,19
38,0,2,4,1,9,9,7,14,4,3,19
39,0,2,4,1,9,9,7,14,4,3,19
40,7,8,10,11,7,0,7,1,11,0,19
41,0,8,4,1,9,9,7,1,4,0,19
42,0,2,4,1,9,9,15,14,8,17,16
43,0,2,4,1,9,9,15,14,8,17,16
44,0,2,4,1,9,9,15,14,8,17,16
45,0,2,4,1,9,9,15,14,8,17,16
46,8,7,6,7,2,2,8,4,11,16,12
47,8,7,6,7,2,2,8,4,11,16,12
48,8,7,6,7,2,2,8,4,8,16,12
49,8,7,6,7,2,2,8,4,8,16,12
50,8,7,6,7,2,2,8,4,8,16,12
