cluster_id,size,jaccard_stability,n_runs
0,115,0.6844606399536133,50
1,30,0.9563677906990051,50
2,82,0.5611502528190613,50
3,188,0.5085663795471191,50
4,54,0.9113348126411438,50
5,107,0.9887991547584534,50
6,37,1.0,50
7,370,0.5638212561607361,50
8,76,0.7474737167358398,50
9,126,0.44293081760406494,50
10,48,0.8513652086257935,50
11,73,0.6761643886566162,50
12,73,0.5012557506561279,50
13,117,0.9698379039764404,50
14,55,0.915299654006958,50
15,37,0.8920120596885681,50
16,44,0.5355814099311829,50
17,3,0.9733333587646484,50
18,352,0.43591398000717163,50
19,108,0.5643302202224731,50
