,aud|t00,aud|t01,aud|t02,aud|t03,aud|t04,aud|t05,aud|t06,aud|t07,aud|t08,aud|t09,aud|t10,aud|t11,aud|t12,aud|t13,aud|t14,aud|t15,aud|t16,aud|t17,aud|t18,aud|t19,aud|t20,aud|t21,aud|t22,aud|t23,aud|t24,aud|t25,aud|t26,aud|t27,aud|t28,aud|t29,pic|t00,pic|t01,pic|t02,pic|t03,pic|t04,pic|t05,pic|t06,pic|t07,pic|t08,pic|t09,pic|t10,pic|t11,pic|t12,pic|t13,pic|t14,pic|t15,pic|t16,pic|t17,pic|t18,pic|t19,pic|t20,pic|t21,pic|t22,pic|t23,pic|t24,pic|t25,pic|t26,pic|t27,pic|t28,pic|t29,rea|t00,rea|t01,rea|t02,rea|t03,rea|t04,rea|t05,rea|t06,rea|t07,rea|t08,rea|t09,rea|t10,rea|t11,rea|t12,rea|t13,rea|t14,rea|t15,rea|t16,rea|t17,rea|t18,rea|t19,rea|t20,rea|t21,rea|t22,rea|t23,rea|t24,rea|t25,rea|t26,rea|t27,rea|t28,rea|t29
17Networks_1,0.02115197807638629,0.010791819423143067,0.006159262139244627,0.007519044050859772,-0.0009223050585702764,-0.013794893671137318,-0.010244346449391524,-0.011413710994755875,-0.011578311874664363,-0.004936973108996542,-0.012927315441548575,-0.021966106077651364,-0.013550928489759312,-0.015787301957647906,-0.010456534420333511,-0.007255473890045686,0.00710389734297989,0.003448966219846412,0.009790756013704667,0.013085938458966922,0.017128463198550874,0.008843181406007561,0.007870815662123727,0.0024328296426862177,0.0022244920444385538,0.023747032062166246,0.006388247055145238,0.011273119863674404,0.011658777284332863,-0.005251464318657579,-0.007446402812184028,0.019396328726844228,0.013805073152081399,0.012694134395355198,0.040453696439162516,0.03572711550562558,0.02231002117588076,0.010966162647995952,0.011332616215817942,0.021459224993236038,0.024479625184041277,0.017715528446864286,0.008174305724882949,0.0014965477979313891,-0.005302618968632448,-0.0028166006023192603,-0.0051699633257768435,-0.008775684099676585,-0.0090239264919828,0.0010959341458398222,0.008853077754353064,0.007692135049009759,0.009258523421107457,0.013539913374377446,0.012876230581716419,0.0028302114222967336,-0.009245104432120545,0.004009319918270022,-0.01831748820598656,-0.02259022006542245,0.017608104452224067,0.05653269649890123,0.02724860694817218,0.0021303701431794443,-0.006302417000424274,0.007661293961440751,0.008475210580504345,-0.005591691275422076,-0.014505256551346716,-0.007320222636773193,-0.00973798337026864,-0.01142133351242364,-0.013343661613740971,-0.019359486232947025,-0.010861458638585463,-0.013982029185728929,-0.023595079339066356,-0.017864477075418578,-0.017508087930657303,-0.02132889310294237,-0.005283281169249611,-0.0008596653717252471,0.002256873239290639,0.00400964079862975,-0.009559033424902216,0.0017481233000293174,0.017876011435499495,0.004004092080873026,-0.014623862917553219,-0.028311218636890245
17Networks_10,-0.027917434067684748,-0.018107120468573972,-0.02163301164494887,-0.010078148085119903,-0.01830191222847317,-0.032043683962101485,0.016207328415949847,0.012843768242759332,0.007339762740386481,0.023146174846283816,-0.0018093844019264637,-0.02659133016460083,0.006283790021744768,0.009454594167876931,-0.002410894525463615,-9.454611086435142e-05,0.004656760812878705,0.015788592515121234,-0.00747990072126348,-0.008042508829624826,-0.012423455969013664,-0.010771075627005662,-0.012940364042274763,0.0056991546275496135,-0.009888202298051612,-0.010399081530739426,0.0068236229079222475,0.00799296628112897,-0.01749272000536195,-0.001278042628753437,-0.008258716327185443,-0.022741498894783795,-0.00969543540991059,-0.012751873991410945,-0.02215931286381209,-0.007584939585674319,0.024391738031697353,-0.019395271714056122,-0.02980791674050488,-0.04505158287690071,0.0044083903556098435,0.02351373602335547,0.012887860491180519,-0.017061616066143696,0.005136598217974011,0.00576425942414621,-0.015799949636607285,0.013739113219307939,0.008442615998316232,-0.0031454782421275625,0.0034306214719635334,0.007880527589687868,0.0025104300022947296,-0.018340288439840563,-0.0037442062715234764,0.01961377920837104,0.021405308779015732,-0.0277888471869412,-0.010343121532842513,0.010842390808807455,0.00784438724763564,0.005880901578603396,-0.01498419785935023,0.009821522085961688,0.010765979107267473,0.014630128570622195,0.0014467388539768978,0.02941444807495542,0.041664882580719285,-0.010503247117107858,0.0037502910350794144,0.0077632883317108135,0.002877171825954614,-0.009700830685324553,0.002918149832495269,-0.009965419422002967,0.005556619459364213,0.0162471453733766,-0.02062742137679013,-0.003836184086867532,-0.020717482567974604,-0.005281297022963682,-0.002454689905385348,0.0050035036206039375,0.0051887472041891826,-0.0035731614113771416,0.013739785452472559,-0.02774868431333749,0.00948537309202115,0.021162669897924542
17Networks_11,-0.019534323462825916,-6.372889183144468e-05,-0.0018250413137632711,0.017524270469604593,0.0040777527878347545,0.0049151575838520725,-0.002539003796734163,-0.00011636594779621377,-0.0019768812582561654,-0.00012455461559040883,0.0028990291384391876,0.00974006830379627,0.010775657650185176,0.01485534894253648,0.01502619810067605,0.02676393562684857,-0.015105368005273536,0.0041068814115139875,-0.019251900453108914,0.012018530523276524,0.011819848327251893,0.025693225324803937,0.017052950936178212,0.005889482595349575,0.011570113229165683,-0.0009466402490162613,-0.002284232147928666,-0.01340576909893284,-0.006534406666213065,-0.015245245392452658,0.015468606000837142,0.03168641132762178,-0.0003293241198367916,-0.009216853565470098,-0.0006848480080413289,0.00915911986254548,-0.02835800906395717,0.0021065815822440327,0.0026386258897815895,0.034212847349216785,0.019234464249366746,-0.019434621048794922,-0.021284084934012425,0.002093251703814791,0.019507428911578615,0.003740264840175269,0.01734379873545223,-0.015080190105899765,-0.027238323541629673,-0.015497892150961392,-0.009886389892976114,-0.006863905297442262,-0.0006129935016850486,0.004866775640495799,0.009484132963853505,-0.010810767288581942,-0.016697034154900717,-0.007093811183184809,-0.022945271912520437,0.014212146583093532,-0.022858064682284556,0.009688454088770813,0.004137581695755371,0.00985551903312323,0.004905691146971778,-0.0026226772927640408,-0.012253285588163536,-0.03026103968397602,0.006292990405492785,0.0016424086318067403,-0.026872552094206543,-0.0012434260925067986,1.656979329970783e-05,-0.006025332939270634,0.00012671888820894536,0.02481583520635775,-0.0031089857146959095,-0.004151116893561608,0.025020930618213366,-0.013219593405839902,-0.009999150493435768,0.01924079347070213,0.006258349412288501,0.028225901008334574,0.027692065406376844,0.01483075910891776,0.011081259072467547,0.02470213919814443,0.0035267929027954633,-0.0047625069190167565
17Networks_12,-0.005425006653356469,-0.0249942569564465,-0.01331121431503263,-0.007173441364004161,-0.018603280858443462,0.005670626839337014,-0.025662731796575106,0.007268640090510635,0.006634014125197425,0.0013088208172899768,0.011643094975343174,0.04139273294716479,-0.015243508699389747,-0.005329771295158105,-0.014862824095632578,0.008073880850649123,-0.011203160771109558,-0.01043140191775253,-0.006447458293514882,-0.01826994889236023,-0.00734040635080267,-0.0016148940971631484,0.013914021767232877,0.01725870097084501,0.014034196095187353,0.0031420644681188713,-0.011457932254184736,-0.011177292411031959,-0.0006647631467485111,-0.020267296457651456,-0.00660700960791048,0.002561777681880488,-0.0036791866388170462,0.013099009708467035,0.019544902334684817,-0.006979531973954016,-0.0012916828859075905,-0.011836786201070707,0.0004675603031969347,0.007278786670040014,0.02583642033975857,0.005889170496439675,-0.005884340309882734,0.010685447797886114,-0.013457142408470846,0.0013061248221405335,-0.00840459560693737,0.002406682712046424,0.016415665884078924,0.01942709610434177,-0.00199650187214486,-0.0029376177732819077,0.012188844955385945,-0.014348742550230924,-0.010137920822912448,0.0009831694997419805,-0.02197749978420962,-0.014932575373491316,-0.006744608830144841,0.0007534674142480328,-0.008403877592564486,-0.005004786950385011,0.012960343744428055,0.005063442881118047,-0.007301941516512883,-0.0037320380050392616,-0.010844435592232124,0.007869948010440764,-0.002334096838355352,0.03017203087258049,0.021425219412127453,0.009831056727666345,0.002934511638251863,-0.006493686418239763,0.0005100817446649912,-0.02705286278892588,-0.001610179355518463,-0.008157734111635376,0.0002624171358573341,0.00015231874125706986,-0.006838320198609113,0.006598555264480803,-0.017736607577547192,-0.005214737889561582,0.0072415919963097096,-0.008813055632899604,-0.012027486135922891,0.013003960391579222,0.007230498698905336,0.004932033428369774
17Networks_13,0.002634444222134812,0.006630612765447519,0.02242845712987287,-0.009083548131691845,-0.02488607673301681,0.0003110129199262755,0.0009730807380072254,0.006757935614735236,0.016004631692795736,-0.007725528893626379,-0.0032701468650476037,-0.010880274002274207,-0.01116946055810345,-0.035786107121034194,-0.004941140794724161,-0.01744529941397572,0.0034324975757653335,0.000392452560801242,0.00327091636163541,0.010688023344234928,0.015240756802356828,0.020597521488016503,-0.01614405850674184,-0.018128470795520147,-0.002918208699144444,0.004747824338508468,0.006532871941665084,0.02692467043352703,-0.0013279503783847604,-0.01428951467223592,0.010263924335094772,-0.020087795177788744,-0.006622962489030842,-0.011341271782993675,0.0012802890769909648,-0.009868869958378754,0.010827152276098494,0.011117027813955056,0.02697065729125058,0.009067077069790017,-0.013690005005357131,0.006965252808852823,-0.023559791730652563,-0.006704597043727206,-0.020881934122508695,0.00390972562717813,0.008570211316517577,-0.010272377419647188,0.00538424062018141,-0.014944322550533438,-0.005116924350681673,0.014649411558170585,-0.001956222737775574,-0.01835297641384526,-0.013812716350434472,-0.008305261354562825,-0.014202765326142596,-0.00970003143556784,0.0010470428252634168,-0.015983826336643532,-0.00799696353674242,-0.01887390074152885,0.004963604771572783,0.006824377696875864,-0.013661966926350601,-0.007152606870913507,0.0009007627280065132,0.003835911219259062,0.008850109316446655,0.007027721954418395,-0.010885833280767001,0.0036829514791143227,0.03528282723886826,-0.0030342224621067765,0.004871861606900107,-0.0031561792007022984,0.00043501605000648407,-0.003144802260871412,-0.014071509414673635,-0.012247587349685427,-0.010273700500514935,0.003416393796578261,0.012048579202731854,0.01999994561712719,0.011128020389518756,-0.016165058900710714,0.010947841503690556,-0.0029194126450630626,-0.009066009137165912,0.021666354129527384
17Networks_14,-0.012952432688854649,0.054339754050464505,0.02227028320099321,0.006015318602891652,0.011199703771586366,0.012447532133557291,0.012635322090552764,0.0135033379843566,0.028642170729324172,0.028886517716357474,0.023807890870160716,-0.02044149716865747,-0.03038445149844617,-0.007873056889240854,-0.009776789829225644,0.0049570879528418816,-0.008016708484564827,-0.025345315881665102,0.014955904499958452,0.0034262686042018224,0.009590741389450874,0.0070526026449328205,-0.001185255134331633,-0.00976203059727011,-0.015710053403313946,-0.004093350296986669,0.002950853436993932,0.024069805651834385,0.0036079649521928658,0.0018113033215261132,0.02390511833058832,-0.003845596086309958,0.003081399140488043,0.009152035681910541,-0.010195674888237478,-0.0016690787375352799,-0.017225328286241137,0.0032791827183182138,0.003213755570505415,-0.01793430535857056,-0.008259377916656855,0.0020775833353433404,-0.008042752756949151,-0.011419587213441051,-0.020812603625041275,-0.0190123005865069,-0.011353169838845809,-0.00863193260865239,-0.005943686426539191,-0.021618086553148244,-0.007182343637826697,0.00905050832648609,0.006634865924647041,0.009592806402479576,0.01608201466763577,-0.002671872575667697,0.009501588452987226,0.004982157899365386,0.005365351530777782,0.013220698978418353,-0.01238595432864541,-0.008420759615427514,-0.005310550774340776,-0.006967231516242711,-0.021583360405266157,0.005641789780584366,0.00016546116501790428,0.009229062228970358,0.016205089471022387,0.0037020913037921098,0.005565756267406744,0.009089253273945663,0.0077474779001523355,0.005709054372763206,-0.00036650948860353605,0.0004926998350510105,-0.0072991029047676905,0.010322248243211082,0.015682249337943176,-0.01024289617191287,-0.009886323299209116,0.011377037064847632,-0.0008509859825046266,0.012272165830934195,0.010242194730028617,-0.012777371413613958,-0.013000592951801032,0.005018768690213294,-0.0007622918194807411,0.020448379893994572
17Networks_15,-0.020501640538727137,-0.019724595620767296,-0.030686889765461613,0.02054209039814639,0.015329569722380934,0.03444550153504512,0.027573163184994542,0.001279436775352596,-0.009442732526705203,-0.005475517439926586,-0.008364835766934045,0.011666637794342469,0.03263228251551225,0.029564294377147658,0.02700746714194794,0.0016289946726396737,-0.04133867085987431,0.007186493526486648,0.013276393141343887,-0.011875956322820241,-0.019874794634547867,-0.034167485966595815,-0.021732307001321154,-0.019881599677712535,0.005875834917787396,0.01159792514524026,0.01423830071969919,-0.019663786848255232,-0.026209478872913243,-0.010135697508918259,-0.008787597493095696,0.01348638011013425,0.022667644421782214,0.01532093006147402,0.024535532595749015,0.005459461868550044,0.012067378323211933,0.005056786158655433,0.012367041454868288,-0.0064486977272631574,0.007556299494936407,-0.013282959963515912,0.009284981496951963,0.006414289723434335,-0.013356357310685268,-0.015858807934557018,-0.020099327901764698,-0.027489879866047257,-0.020356828231790546,-0.016740806585708184,0.00465723083345566,-0.009555688173213426,-0.002780119448500768,0.022198925013999192,0.003407486203843408,-0.00845384859344479,0.015819275627707,0.010564466744983141,-0.005506178286906907,-0.021388051097303035,0.006101953096203673,-0.012511782121153923,-0.021006875212945447,-0.019123098730994607,0.02456717977639957,-0.015876436698425776,0.01478267351328014,0.019425116356327477,0.035618937315851806,-0.00586968784868753,0.0005082616134990954,-0.008025399288605354,0.010082818144057247,-0.00998085857489105,0.003102334226105013,-0.012888146191258198,0.000969833257067868,-0.011031299451060546,0.01913404336079925,0.009901374133098838,0.01261722919620834,0.007800176650883198,0.001125365468342757,-0.032196198911141796,-0.008090841728934562,-0.010081734264903278,0.0035531936684000303,0.01629967918020398,0.008570180818666045,-0.045613977465213965
17Networks_16,0.003231158199017338,0.005704391691011701,0.002927694512368853,-0.0009949623062619826,-0.007252736742418335,-0.0017814837978321959,-0.021856698060675205,0.00031863390396834476,-0.008706659438048445,-0.013440959113491791,-0.02444889335033365,0.0020573172234803253,0.002951852065489217,-0.012076859812144998,0.004035131096950589,-0.019929242409228252,0.03819949914997735,0.02445591841920789,-0.0003809846493471861,-0.019756805532126765,0.011977357917077328,-0.010584695473678152,-0.01397917420287278,-0.020473576560078734,-0.02894207702207514,-0.0029084470154791572,-0.00941171923506134,0.014341095676744579,0.00744939537726994,-0.006490065997867431,0.011977058135755048,-0.003755989751765008,-0.00832604247435888,-0.009617371962224423,0.007038010902695023,0.0028458949892184713,-0.024499785864175037,0.006092316861885229,-0.028817042813436528,0.0009356532565163084,-0.03252595802245949,-0.04842079617522655,-0.015020632515768647,-0.029120200065630254,0.017505618746092355,0.0036740391476883733,0.0057802631711104625,0.014702767211611883,-0.0046528393573733616,-0.00042242043429792495,-0.0011491784539682539,0.0015354000776645798,-0.015483793625486986,-0.0034096607996757624,0.0003127379681289625,0.0007185429273275711,0.004319958645952358,0.010193062815033889,0.02154820993753211,0.016797934461080723,0.01686523831809823,0.007395503697638181,0.007183230913482523,0.02207491803741951,0.003778320147634353,0.011892725308661773,0.00952490858354279,0.001217170528019737,-0.017969450109770423,0.011917781439859403,0.004926979359249356,-0.006305820837889428,0.00320628114767049,-0.0139881765997249,-0.004092244299406251,-0.0018585142013298305,0.0020235066780120887,-0.020779526477820404,-0.003491949248990355,0.008707883988411248,0.0072432250875424705,-0.002501522337520265,0.004730943473349032,0.0006280676564743449,0.008043810091437073,-0.004094331173151835,-0.02186298891621635,-0.018978117576137557,0.020669333978798547,0.017368256577407818
17Networks_17,-0.01236771720415655,-0.02459029904055737,-0.003784665864254132,-0.018353364343781764,0.000551085599142895,0.005423456906146913,-0.011429808367351866,-0.015222313287628764,-0.0018720259528099844,-0.005072457946753527,0.015341598318589365,0.008944019317122718,0.0005455821174257433,-0.02619536759395636,-0.011149368765966521,0.0005759034227349753,-0.002313440075628647,-0.010604645088494178,0.012684836888314888,0.0032495385379690466,-0.018413852374828357,0.00874257259817037,-0.004839688371771788,-0.005959267392179984,0.006117234548149214,0.008234992324465286,0.024906430896009496,0.008513461242145023,-0.0001476642778624984,-0.002375923633023269,0.00587805416649167,-0.003109657561616785,-0.011151535826406949,-0.003722606954057031,-0.01422807829254923,-0.03256106532855023,-0.019247700990265484,-0.007090700270615631,0.00765684274764115,0.001763416807319616,-0.005766196930943155,-0.007900388099883053,0.0034782584758140415,0.0022433263284137557,0.006482063172109265,-0.01184890495565347,-0.015606920042349865,-0.007852107163966827,0.006776806602388587,0.008837800483451421,0.029784075791989377,0.005267615308849414,-0.016541484220889868,0.007630781636208342,-0.006470757929109288,-0.017575105611235764,0.011946925254646867,0.008981579887231401,0.03207439023765511,0.020759058937564252,0.022989384624637843,0.0020379446434892756,-0.009478263882540205,0.0026983728150610127,-0.009271200543037261,0.015677744724818858,0.005201211170069156,-0.0019767645910040437,-0.0002893342739159211,0.012624335451412668,0.008724461697577655,0.0057669715287765305,0.007726953769961996,-0.007329394921765438,-0.011242405734163036,-0.024095071600617343,-0.011988909086869263,-0.0051488953226658364,-0.015570636429895254,-0.002260448935483152,0.004390980373999681,0.0019583949667029187,-0.0018498334588913797,0.0033137930781500504,-0.0029754865453424993,0.008069045859508255,0.004443139969442264,-0.02055152985904122,-0.007177876661108955,-0.01955303606203738
17Networks_2,0.01261672056871543,-0.012594694254836735,-0.002385829453878929,-0.00846261062584763,-0.020184605664932825,1.7329946009188475e-05,0.014290679303778692,0.01870674144840321,-0.005363723357685449,0.013546593919566165,0.006895206597685606,0.0007908028709925227,5.4420685576141156e-05,0.01872540670064029,0.017606648653645408,-0.03050297916763268,-0.003230211761885718,0.0028030976223353096,0.009791254608393068,0.015334878642627314,0.007233127338895151,0.008088341934360747,0.008137677484432813,0.0015187251887778433,0.0013456319397335903,-0.018030651766340104,-0.014014888027178363,0.006612915495342065,0.004840063062273897,0.015844807533932154,0.023570678240495056,0.029628987063320917,-0.0013581447373164298,-0.011777844413935392,0.006832268099087907,-0.0003397882432948945,0.02533113136822988,0.0068198973282753445,0.003430593455769744,-0.001787373678762283,0.01240009407175996,0.02487120851375009,-0.009925128753437628,0.004811669878636013,-0.0052337795856715295,0.0008173185656374822,0.0027769513270589777,-0.016625182706936466,-0.02038865860261154,0.013672159100293058,0.015994454365617566,0.00034374519795950486,-0.008831543678822901,-0.0011436351079036264,-0.02144173075220098,-0.02254425626603143,-0.007848037374683717,0.007709997279237589,0.0173990124504318,0.017284061618452973,0.004718820213863573,-0.0006962928625743409,0.008977690212598413,-0.0014590374355906,0.017820129637682213,0.008176522059944919,-0.008999820578432951,-0.009558510693462407,-0.012507710725032447,-0.02305620986613807,0.019310480667736846,0.023679582667229124,-0.018956465427852426,-0.001912557366980603,-0.0013157890960546522,-0.024462618329712978,-0.009092818884831677,-0.0025274226457416755,-0.011672278050970708,-0.004909395492600705,0.0039024912970101063,-0.01228300881942119,0.04018778385708219,0.013180993072383702,-0.014734353472283556,-0.001890209240232177,-0.004947421819924173,0.001146867512156563,-0.012323145135263815,0.026961619067443814
