k,silhouette,calinski_harabasz,davies_bouldin,n_clusters,n_singletons,min_size,max_size,size_cv
5,0.06683557690498325,111.40643101657318,3.1929024081571113,5,0,150,547,0.4653457701899218
6,0.07084015586534959,101.10839247855435,3.0395377525878247,6,0,120,453,0.49402326200401897
7,0.07324380194836204,94.01896289446674,3.0765217626692367,7,0,120,453,0.4795051655992788
8,0.08089489210408941,89.23527257361656,2.902241037847712,8,0,47,453,0.5653235842635987
9,0.07199401469788738,85.75933864509616,2.893098586145147,9,0,47,326,0.40056506436696643
10,0.07323704979201648,81.85048064299309,2.741218085688537,10,0,47,326,0.5147541813416701
11,0.07772349619976247,78.87998354642052,2.767978248234181,11,0,47,236,0.43238085928394665
12,0.07810158071552273,75.83703187656778,2.7078457672744474,12,0,47,236,0.46969968952763347
13,0.0838269687061573,73.28341138814925,2.587836438233388,13,0,47,236,0.5128942874291851
14,0.08907661249123325,70.89844112786143,2.5511075725666186,14,0,47,227,0.50754067643922
15,0.08276114893896061,68.93393052756308,2.526110787062576,15,0,47,226,0.4641072544962189
16,0.08662531441040573,67.10245238464215,2.499714557650666,16,0,47,177,0.4296098084285723
17,0.09174479193818587,65.5371778729373,2.4858797381297455,17,0,47,166,0.40831247395948683
18,0.09312192605166762,63.91690049598632,2.469655424903411,18,0,47,166,0.40607845331794684
19,0.09792322607247098,62.2807771427659,2.491005592984402,19,0,41,166,0.43428898380317865
20,0.08793259528505872,60.64277001576365,2.4597121486321205,20,0,41,166,0.42002996338883514
21,0.08630665282284472,59.17428494851889,2.43136478104902,21,0,41,166,0.44943571132591986
22,0.08776198017669569,57.777407727583295,2.4005804049099706,22,0,37,166,0.45271518015562895
23,0.08888600793708623,56.5161344422156,2.367216699427572,23,0,27,166,0.49575504248615143
24,0.09130391738027749,55.258867389037924,2.3840271004790217,24,0,27,166,0.4547479185871622
25,0.09401383196006782,54.110640778295,2.3941663021199076,25,0,27,166,0.4831036731888291
26,0.09290447630320053,53.0365943039782,2.3745525626882764,26,0,27,166,0.4648009278367599
27,0.09561469675327616,52.061134191460624,2.352156380710857,27,0,27,166,0.49796733116254305
28,0.09836195534658833,51.1706938839922,2.3691213560682978,28,0,27,166,0.49701496594463596
29,0.10055685231915382,50.296037517111365,2.406245036649766,29,0,27,127,0.43673715448564554
30,0.09540250858185241,49.453319449775506,2.402699708924829,30,0,27,127,0.4057412513273491
