k,mean_jaccard,min_jaccard,max_jaccard,n_runs,subsample_frac,estimator,n_iter
5,0.5973906517028809,0.4472751021385193,0.7921323776245117,50,0.8,kmeans,
6,0.49479299783706665,0.3576904833316803,0.7548149824142456,50,0.8,kmeans,
7,0.47368067502975464,0.33122795820236206,0.6735820174217224,50,0.8,kmeans,
8,0.5047903247177601,0.28390300273895264,0.9879112839698792,50,0.8,kmeans,
9,0.4977656503518422,0.2718595862388611,0.9856165051460266,50,0.8,kmeans,
10,0.5295894384384155,0.2583397924900055,0.9786871075630188,50,0.8,kmeans,
11,0.5313840887763284,0.2566970884799957,0.979748547077179,50,0.8,kmeans,
12,0.5199394921461741,0.24882063269615173,0.9820902347564697,50,0.8,kmeans,
