,7Networks_1,7Networks_2,7Networks_3,7Networks_4,7Networks_5,7Networks_6,7Networks_7
7Networks_1,9,4,5,2,4,5,11
7Networks_2,11,53,13,5,25,9,29
7Networks_3,4,8,5,5,7,12,11
7Networks_4,2,13,2,6,13,13,20
7Networks_5,26,15,11,2,58,20,49
7Networks_6,5,12,8,6,30,10,43
7Networks_7,35,56,21,14,72,48,111
