component,method,feature_set,K,n,boot_J,boot_lo,boot_hi,boot_sd,pass_bootstrap,null_p95,above_null,init_J,pass_init,patient_max,pass_patient,interpret,n_boot,measure,scoring,pct_added
0,kmeans,concat_hg_all,10,643,0.72,0.693,0.747,0.135,True,0.596,True,0.788,True,0.132,True,True,100,hennig_bootstrap_jaccard_inbag,in-bag,72.8
1,kmeans,concat_hg_all,10,50,0.762,0.714,0.81,0.24,True,0.596,True,0.945,True,0.84,False,False,100,hennig_bootstrap_jaccard_inbag,in-bag,0.0
2,kmeans,concat_hg_all,10,42,0.613,0.551,0.675,0.314,False,0.596,False,0.853,True,0.19,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,0.0
3,kmeans,concat_hg_all,10,480,0.609,0.573,0.646,0.184,False,0.596,False,0.705,False,0.133,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,47.1
4,kmeans,concat_hg_all,10,67,0.541,0.502,0.58,0.199,False,0.596,False,0.656,False,0.418,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,0.0
5,kmeans,concat_hg_all,10,838,0.612,0.579,0.646,0.169,False,0.596,False,0.665,False,0.137,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,76.3
6,kmeans,concat_hg_all,10,436,0.572,0.533,0.611,0.197,False,0.596,False,0.61,False,0.195,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,62.6
7,kmeans,concat_hg_all,10,116,0.583,0.529,0.637,0.273,False,0.596,False,0.877,True,0.138,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,13.8
8,kmeans,concat_hg_all,10,122,0.751,0.724,0.778,0.137,True,0.596,True,0.706,False,0.475,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,37.7
9,kmeans,concat_hg_all,10,152,0.47,0.437,0.503,0.167,False,0.596,False,0.474,False,0.237,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,7.2
