condition,band_idx,band_lo,band_hi,band,time_bin,kind,impurity_importance,importance
audio,0,1.0,4.0,1-4Hz,0,ersp,0.0004880059520237961,0.0004880059520237961
audio,0,1.0,4.0,1-4Hz,1,ersp,0.0005547389404878894,0.0005547389404878894
audio,0,1.0,4.0,1-4Hz,2,ersp,0.0003260913951385262,0.0003260913951385262
audio,0,1.0,4.0,1-4Hz,3,ersp,0.0006316970140723301,0.0006316970140723301
audio,0,1.0,4.0,1-4Hz,4,ersp,0.0007248490767810097,0.0007248490767810097
audio,0,1.0,4.0,1-4Hz,5,ersp,0.000920006628014182,0.000920006628014182
audio,0,1.0,4.0,1-4Hz,6,ersp,0.00026351916196158686,0.00026351916196158686
audio,0,1.0,4.0,1-4Hz,7,ersp,0.000684509358606901,0.000684509358606901
audio,0,1.0,4.0,1-4Hz,8,ersp,0.00042775467662811814,0.00042775467662811814
audio,0,1.0,4.0,1-4Hz,9,ersp,0.0007195011643923763,0.0007195011643923763
audio,0,1.0,4.0,1-4Hz,10,ersp,0.0006943062470928555,0.0006943062470928555
audio,0,1.0,4.0,1-4Hz,11,ersp,0.0008777533790105375,0.0008777533790105375
audio,0,1.0,4.0,1-4Hz,12,ersp,0.0005893891249491259,0.0005893891249491259
audio,0,1.0,4.0,1-4Hz,13,ersp,0.0005784349427008196,0.0005784349427008196
audio,0,1.0,4.0,1-4Hz,14,ersp,0.000706909682191089,0.000706909682191089
audio,0,1.0,4.0,1-4Hz,15,ersp,0.0005875632212211258,0.0005875632212211258
audio,0,1.0,4.0,1-4Hz,16,ersp,0.0007266514913810703,0.0007266514913810703
audio,0,1.0,4.0,1-4Hz,17,ersp,0.0005678709648977717,0.0005678709648977717
audio,0,1.0,4.0,1-4Hz,18,ersp,0.0008795798469081554,0.0008795798469081554
audio,0,1.0,4.0,1-4Hz,19,ersp,0.0005277204447772364,0.0005277204447772364
audio,0,1.0,4.0,1-4Hz,20,ersp,0.0004994944766352028,0.0004994944766352028
audio,0,1.0,4.0,1-4Hz,21,ersp,0.0006927417536476626,0.0006927417536476626
audio,0,1.0,4.0,1-4Hz,22,ersp,0.0005371166476002627,0.0005371166476002627
audio,0,1.0,4.0,1-4Hz,23,ersp,0.0005897345381862924,0.0005897345381862924
audio,0,1.0,4.0,1-4Hz,24,ersp,0.00029773038947809215,0.00029773038947809215
audio,0,1.0,4.0,1-4Hz,25,ersp,0.00036785384738112926,0.00036785384738112926
audio,0,1.0,4.0,1-4Hz,26,ersp,0.0009977279196878464,0.0009977279196878464
audio,0,1.0,4.0,1-4Hz,27,ersp,0.0007766165737440595,0.0007766165737440595
audio,0,1.0,4.0,1-4Hz,28,ersp,0.0008949340541679487,0.0008949340541679487
audio,0,1.0,4.0,1-4Hz,29,ersp,0.0004412840369950065,0.0004412840369950065
audio,1,4.0,8.0,4-8Hz,0,ersp,0.0001739654414639711,0.0001739654414639711
audio,1,4.0,8.0,4-8Hz,1,ersp,0.0004972631107671315,0.0004972631107671315
audio,1,4.0,8.0,4-8Hz,2,ersp,0.00037407197643500226,0.00037407197643500226
audio,1,4.0,8.0,4-8Hz,3,ersp,0.00099696046553311,0.00099696046553311
