band_idx,band_lo,band_hi,band,time_bin,kind,coef[audio],coef[picture],coef[reading],importance
0,1.0,4.0,1-4Hz,0,ersp,-0.08986219520046908,0.0782565443188369,0.01160565088163226,0.05990813013364608
0,1.0,4.0,1-4Hz,1,ersp,-0.08674620399477949,0.0819984553811482,0.004747748613631297,0.05783080266318633
0,1.0,4.0,1-4Hz,2,ersp,-0.05438359126681604,0.05782929345242993,-0.003445702185613851,0.038552862301619945
0,1.0,4.0,1-4Hz,3,ersp,-0.07135352035741968,0.044018030932654856,0.027335489424764783,0.047569013571613104
0,1.0,4.0,1-4Hz,4,ersp,-0.09970759053823224,0.07204375344189887,0.027663837096333473,0.06647172702548819
0,1.0,4.0,1-4Hz,5,ersp,-0.13440265164602305,0.12391691861308879,0.010485733032934137,0.08960176776401534
0,1.0,4.0,1-4Hz,6,ersp,-0.14771377906340055,0.07836522486383848,0.0693485541995619,0.09847585270893365
0,1.0,4.0,1-4Hz,7,ersp,-0.09987745308643789,0.010372867447092704,0.08950458563934523,0.06658496872429194
0,1.0,4.0,1-4Hz,8,ersp,-0.03307463365185742,0.000669199945684636,0.032405433706172916,0.022049755767904994
0,1.0,4.0,1-4Hz,9,ersp,-0.034185177308736235,0.022821380944875673,0.01136379636386067,0.022790118205824193
0,1.0,4.0,1-4Hz,10,ersp,-0.0012085267256027815,0.027429635698706087,-0.026221108973103018,0.018286423799137294
0,1.0,4.0,1-4Hz,11,ersp,0.043364257324925305,-0.027855344730932995,-0.015508912593992327,0.028909504883283543
0,1.0,4.0,1-4Hz,12,ersp,0.07006536200455567,-0.08065334277768474,0.010587980773128941,0.05376889518512312
0,1.0,4.0,1-4Hz,13,ersp,0.042623647852744855,-0.04568030792216428,0.003056660069419249,0.030453538614776125
0,1.0,4.0,1-4Hz,14,ersp,0.060209099480062644,-0.021044028505307524,-0.03916507097475498,0.04013939965337505
0,1.0,4.0,1-4Hz,15,ersp,0.10093726866744654,-0.007890942639390245,-0.09304632602805615,0.06729151244496431
0,1.0,4.0,1-4Hz,16,ersp,0.1119203669569241,-0.020480079593213633,-0.09144028736371024,0.07461357797128267
0,1.0,4.0,1-4Hz,17,ersp,0.10911509615914311,-0.04242102262754231,-0.06669407353160081,0.07274339743942874
0,1.0,4.0,1-4Hz,18,ersp,0.12171320261133331,-0.055126220264121985,-0.06658698234721144,0.08114213507422224
0,1.0,4.0,1-4Hz,19,ersp,0.11298647250595628,-0.05297002217488767,-0.06001645033106886,0.07532431500397094
0,1.0,4.0,1-4Hz,20,ersp,0.0490903926840095,-0.049365104207663824,0.00027471152365436446,0.032910069471775896
0,1.0,4.0,1-4Hz,21,ersp,0.01993257910424711,-0.03900598956662079,0.01907341046237362,0.02600399304441384
0,1.0,4.0,1-4Hz,22,ersp,0.011860563361469291,-0.08828377449322564,0.07642321113175614,0.05885584966215035
0,1.0,4.0,1-4Hz,23,ersp,-0.004756932000679409,-0.12536426040757012,0.13012119240824985,0.0867474616054998
0,1.0,4.0,1-4Hz,24,ersp,0.04169761441076028,-0.16827934050119023,0.12658172609042967,0.11218622700079339
0,1.0,4.0,1-4Hz,25,ersp,0.052180988300882435,-0.12926932974088426,0.07708834144000161,0.08617955316058944
0,1.0,4.0,1-4Hz,26,ersp,-0.0021299947585791974,-0.05342629983063187,0.05555629458921134,0.0370375297261408
0,1.0,4.0,1-4Hz,27,ersp,-0.026027275482273803,-0.048900585038870424,0.07492786052114414,0.049951907014096124
0,1.0,4.0,1-4Hz,28,ersp,-0.0423738437542969,-0.05831944228179388,0.10069328603609098,0.06712885735739392
0,1.0,4.0,1-4Hz,29,ersp,-0.022399953360182714,-0.06636126027124845,0.08876121363143115,0.05917414242095411
0,1.0,4.0,1-4Hz,30,ersp,-0.06643259173480098,-0.04938121732975904,0.11581380906455999,0.07720920604304
0,1.0,4.0,1-4Hz,31,ersp,-0.0785760673811487,-0.06362122974763998,0.14219729712878867,0.09479819808585911
0,1.0,4.0,1-4Hz,32,ersp,-0.046441107854930753,-0.08175219550393692,0.128193303358868,0.08546220223924522
0,1.0,4.0,1-4Hz,33,ersp,-0.008585711244357707,-0.08406792225535226,0.0926536334997099,0.06176908899980662
0,1.0,4.0,1-4Hz,34,ersp,0.028697016105144996,-0.07550644357360335,0.04680942746845821,0.050337629049068855
0,1.0,4.0,1-4Hz,35,ersp,0.024784939614028858,-0.04864395874711386,0.023859019133084764,0.03242930583140916
0,1.0,4.0,1-4Hz,36,ersp,0.010434990292615213,-0.04398910743639965,0.03355411714378446,0.029326071624266443
0,1.0,4.0,1-4Hz,37,ersp,0.0247973949675181,-0.0007024460461253796,-0.024094948921392592,0.016531596645012026
0,1.0,4.0,1-4Hz,38,ersp,0.060517954433196214,0.0325323379331387,-0.09305029236633486,0.06203352824422326
0,1.0,4.0,1-4Hz,39,ersp,0.06632186922857211,0.049396851475275255,-0.11571872070384731,0.0771458138025649
0,1.0,4.0,1-4Hz,40,ersp,0.07698022686630443,0.03680742630182128,-0.11378765316812571,0.07585843544541714
0,1.0,4.0,1-4Hz,41,ersp,0.04269975575674209,0.03754339576350782,-0.08024315152024987,0.05349543434683326
0,1.0,4.0,1-4Hz,42,ersp,0.044077388543923846,0.028848478568158087,-0.07292586711208197,0.048617244741387976
0,1.0,4.0,1-4Hz,43,ersp,0.04893157888805947,0.04561083002104358,-0.09454240890910309,0.0630282726060687
