atlas,n,r_abs_max,n_sig,pct_sig
p_0.001,2644,0.16015611588954926,30139,25.959517657192077
p_0.01,2644,0.15599137544631958,28673,24.69681309216193
p_0.05,2644,0.16244292259216309,31544,27.16968130921619
