cluster,n,meanP,pct_in,enrich
0,74,0.21814432229242614,0.4864864864864865,1.0853162440791306
1,130,0.18624737633463856,0.5307692307692308,1.1841078509119747
2,156,0.158451040305245,0.5256410256410257,1.1726671953476078
3,100,0.11946650071069598,0.4,0.8923711340206186
4,622,0.14435144792194105,0.41479099678456594,0.9253687804554646
