cluster,reference_cluster,jaccard,block_position
0,3,0.4519,2
1,6,0.2211,7
2,2,0.1044,3
3,4,0.2515,1
4,5,0.1059,6
5,0,0.1548,5
6,1,0.4382,4
7,7,0.3735,0
