cluster,n,n_patients,top_n,top_share,top_patient,null_patients,null_share
0,170,10,49,0.28823529411764703,19,25.6825,0.10666176470588234
1,47,3,41,0.8723404255319149,18,19.8425,0.13079787234042553
2,136,6,47,0.34558823529411764,10,25.115,0.10957720588235294
3,286,23,49,0.17132867132867133,8,26.4225,0.10222902097902097
4,316,16,127,0.40189873417721517,26,26.575,0.10136867088607594
5,181,11,61,0.3370165745856354,6,25.755,0.1066574585635359
6,288,19,71,0.2465277777777778,25,26.455,0.10290798611111111
7,269,10,140,0.5204460966542751,22,26.42,0.10303903345724909
