k,method_1,feature_1,method_2,feature_2,same_algorithm,same_feature,diagonal_share,null_mean,null_p95,p_value,chance_corrected,n_electrodes,n_perm,run_1,run_2
6,kmeans,concat_hg,kmeans,concat_rawds,True,False,0.3595238095238095,0.1939767857142857,0.20297619047619048,0.000999000999000999,0.2053874142523663,1680,1000,20260915_004134,20260915_004207
6,kmeans,concat_hg,kmeans,concat_bands5z,True,False,0.44761904761904764,0.19377440476190477,0.20297619047619048,0.000999000999000999,0.31485559917280626,1680,1000,20260915_004134,20260915_004310
6,kmeans,concat_hg,hierarchical,concat_hg,False,True,0.5529761904761905,0.197975,0.20773809523809525,0.000999000999000999,0.44263107817859854,1680,1000,20260915_004134,20260915_003616
6,kmeans,concat_hg,hierarchical,concat_rawds,False,False,0.33035714285714285,0.19819940476190476,0.20833333333333334,0.000999000999000999,0.16482619105064866,1680,1000,20260915_004134,20260915_003626
6,kmeans,concat_hg,hierarchical,concat_bands5z,False,False,0.4172619047619048,0.1965154761904762,0.20595238095238094,0.000999000999000999,0.2747363788972733,1680,1000,20260915_004134,20260915_003657
6,kmeans,concat_hg,cnmf,concat_hg,False,True,0.7375,0.19484166666666666,0.20476190476190476,0.000999000999000999,0.6739771680518325,1680,1000,20260915_004134,20260914_225554
6,kmeans,concat_hg,cnmf,concat_rawds,False,False,0.3482142857142857,0.1956172619047619,0.20535714285714285,0.000999000999000999,0.18970698472579167,1680,1000,20260915_004134,20260914_230430
6,kmeans,concat_hg,cnmf,concat_bands5z,False,False,0.45416666666666666,0.1942392857142857,0.20357142857142857,0.000999000999000999,0.322586316686834,1680,1000,20260915_004134,20260914_231813
6,kmeans,concat_rawds,kmeans,concat_bands5z,True,False,0.5547619047619048,0.19384761904761905,0.20297619047619048,0.000999000999000999,0.4476998322425159,1680,1000,20260915_004207,20260915_004310
6,kmeans,concat_rawds,hierarchical,concat_hg,False,False,0.36547619047619045,0.20023154761904763,0.21011904761904762,0.000999000999000999,0.2066156052607488,1680,1000,20260915_004207,20260915_003616
6,kmeans,concat_rawds,hierarchical,concat_rawds,False,True,0.6071428571428571,0.20031309523809526,0.2119047619047619,0.000999000999000999,0.5087363060245303,1680,1000,20260915_004207,20260915_003626
6,kmeans,concat_rawds,hierarchical,concat_bands5z,False,False,0.44821428571428573,0.19791369047619048,0.20773809523809525,0.000999000999000999,0.3120619218481564,1680,1000,20260915_004207,20260915_003657
6,kmeans,concat_rawds,cnmf,concat_hg,False,False,0.35654761904761906,0.19608273809523807,0.2059821428571428,0.000999000999000999,0.19960372610010066,1680,1000,20260915_004207,20260914_225554
6,kmeans,concat_rawds,cnmf,concat_rawds,False,True,0.7619047619047619,0.19688333333333333,0.20714285714285716,0.000999000999000999,0.7035359269986866,1680,1000,20260915_004207,20260914_230430
6,kmeans,concat_rawds,cnmf,concat_bands5z,False,False,0.5202380952380953,0.1950940476190476,0.20416666666666666,0.000999000999000999,0.40395284276039356,1680,1000,20260915_004207,20260914_231813
6,kmeans,concat_bands5z,hierarchical,concat_hg,False,False,0.4630952380952381,0.1993934523809524,0.20892857142857144,0.000999000999000999,0.32937750321742665,1680,1000,20260915_004310,20260915_003616
6,kmeans,concat_bands5z,hierarchical,concat_rawds,False,False,0.4845238095238095,0.1989892857142857,0.20952380952380953,0.000999000999000999,0.35646779589476985,1680,1000,20260915_004310,20260915_003626
6,kmeans,concat_bands5z,hierarchical,concat_bands5z,False,True,0.5738095238095238,0.19768333333333335,0.20714285714285716,0.000999000999000999,0.46880017093357623,1680,1000,20260915_004310,20260915_003657
6,kmeans,concat_bands5z,cnmf,concat_hg,False,False,0.4488095238095238,0.19519880952380952,0.20476190476190476,0.000999000999000999,0.3151221907806276,1680,1000,20260915_004310,20260914_225554
6,kmeans,concat_bands5z,cnmf,concat_rawds,False,False,0.5059523809523809,0.19611309523809525,0.20595238095238094,0.000999000999000999,0.3854264622037274,1680,1000,20260915_004310,20260914_230430
6,kmeans,concat_bands5z,cnmf,concat_bands5z,False,True,0.7755952380952381,0.19498035714285714,0.20416666666666666,0.000999000999000999,0.7212431225798247,1680,1000,20260915_004310,20260914_231813
6,hierarchical,concat_hg,hierarchical,concat_rawds,True,False,0.3738095238095238,0.2142470238095238,0.2244047619047619,0.000999000999000999,0.2030695458178196,1680,1000,20260915_003616,20260915_003626
6,hierarchical,concat_hg,hierarchical,concat_bands5z,True,False,0.39285714285714285,0.21192321428571428,0.2226190476190476,0.000999000999000999,0.22958921243624283,1680,1000,20260915_003616,20260915_003657
6,hierarchical,concat_hg,cnmf,concat_hg,False,True,0.5452380952380952,0.2037684523809524,0.21428571428571427,0.000999000999000999,0.4288572135558198,1680,1000,20260915_003616,20260914_225554
6,hierarchical,concat_hg,cnmf,concat_rawds,False,False,0.35773809523809524,0.20600416666666665,0.21666666666666667,0.000999000999000999,0.1911016685495981,1680,1000,20260915_003616,20260914_230430
6,hierarchical,concat_hg,cnmf,concat_bands5z,False,False,0.4261904761904762,0.20149464285714289,0.2113095238095238,0.000999000999000999,0.2813955239290072,1680,1000,20260915_003616,20260914_231813
6,hierarchical,concat_rawds,hierarchical,concat_bands5z,True,False,0.5029761904761905,0.2093684523809524,0.22023809523809523,0.000999000999000999,0.37135849053762776,1680,1000,20260915_003626,20260915_003657
6,hierarchical,concat_rawds,cnmf,concat_hg,False,False,0.3535714285714286,0.20533452380952383,0.21729166666666663,0.000999000999000999,0.18654000859900619,1680,1000,20260915_003626,20260914_225554
6,hierarchical,concat_rawds,cnmf,concat_rawds,False,True,0.6083333333333333,0.20946964285714287,0.2220238095238095,0.000999000999000999,0.5045520224141267,1680,1000,20260915_003626,20260914_230430
6,hierarchical,concat_rawds,cnmf,concat_bands5z,False,False,0.44166666666666665,0.20192380952380953,0.2130952380952381,0.000999000999000999,0.3004009642234898,1680,1000,20260915_003626,20260914_231813
