,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7
s1_c0,61.0,73.0,28.0,47.0,3.0,31.0,3.0,2.0
s1_c1,52.0,18.0,39.0,1.0,15.0,3.0,191.0,2.0
s1_c2,23.0,11.0,21.0,10.0,3.0,13.0,3.0,75.0
s1_c3,18.0,1.0,40.0,2.0,4.0,161.0,1.0,9.0
s1_c4,22.0,14.0,14.0,1.0,13.0,8.0,102.0,42.0
s1_c5,31.0,2.0,31.0,1.0,88.0,18.0,27.0,5.0
s1_c6,37.0,7.0,12.0,7.0,0.0,26.0,34.0,3.0
s1_c7,57.0,17.0,17.0,48.0,30.0,16.0,11.0,14.0
