cluster,reference_cluster,jaccard,block_position
0,6,0.2059,4
1,0,0.5917,6
2,3,0.7681,2
3,5,0.6967,7
4,1,0.6576,0
5,4,0.4543,1
6,2,0.5605,3
7,7,0.6731,5
