,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7,s2_c8,s2_c9
s1_c0,5.0,18.0,62.0,7.0,0.0,60.0,3.0,10.0,0.0,9.0
s1_c1,16.0,0.0,4.0,7.0,0.0,9.0,4.0,11.0,0.0,138.0
s1_c2,55.0,2.0,24.0,18.0,0.0,4.0,2.0,18.0,0.0,9.0
s1_c3,2.0,0.0,1.0,5.0,0.0,13.0,50.0,86.0,0.0,156.0
s1_c4,7.0,0.0,0.0,4.0,50.0,26.0,3.0,0.0,0.0,18.0
s1_c5,16.0,0.0,4.0,81.0,0.0,23.0,3.0,1.0,0.0,17.0
s1_c6,10.0,120.0,7.0,1.0,0.0,2.0,0.0,2.0,0.0,8.0
s1_c7,3.0,0.0,2.0,2.0,0.0,3.0,130.0,12.0,0.0,4.0
s1_c8,4.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,81.0,4.0
s1_c9,0.0,0.0,0.0,104.0,0.0,16.0,0.0,1.0,0.0,42.0
