,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7
s1_c0,10.0,13.0,13.0,5.0,15.0,21.0,37.0,38.0
s1_c1,1.0,19.0,72.0,1.0,253.0,69.0,3.0,10.0
s1_c2,8.0,1.0,20.0,1.0,38.0,44.0,21.0,3.0
s1_c3,63.0,6.0,27.0,8.0,4.0,27.0,7.0,33.0
s1_c4,5.0,3.0,16.0,108.0,25.0,13.0,24.0,8.0
s1_c5,11.0,81.0,19.0,1.0,8.0,20.0,6.0,22.0
s1_c6,7.0,2.0,16.0,4.0,1.0,45.0,146.0,2.0
s1_c7,24.0,8.0,83.0,5.0,8.0,16.0,11.0,41.0
