,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7,s2_c8
s1_c0,32.0,36.0,10.0,8.0,89.0,1.0,13.0,0.0,4.0
s1_c1,1.0,0.0,0.0,6.0,0.0,2.0,0.0,81.0,0.0
s1_c2,2.0,1.0,93.0,5.0,4.0,32.0,6.0,0.0,0.0
s1_c3,136.0,1.0,9.0,5.0,5.0,7.0,0.0,0.0,18.0
s1_c4,2.0,3.0,1.0,21.0,0.0,32.0,103.0,0.0,3.0
s1_c5,8.0,0.0,5.0,77.0,19.0,13.0,0.0,0.0,261.0
s1_c6,0.0,111.0,2.0,17.0,5.0,0.0,0.0,0.0,0.0
s1_c7,11.0,2.0,12.0,9.0,1.0,127.0,1.0,0.0,19.0
s1_c8,3.0,4.0,45.0,24.0,62.0,10.0,1.0,0.0,3.0
