cluster,reference_cluster,jaccard,block_position
0,6,0.2671,7
1,7,0.7429,0
2,4,0.3467,1
3,0,0.5714,5
4,5,0.0174,6
5,1,0.4821,4
6,2,0.3823,3
7,3,0.68,2
