cluster,reference_cluster,jaccard,block_position
0,2,0.3529,3
1,3,0.6232,2
2,4,0.3511,1
3,0,0.175,5
4,5,0.5939,6
5,7,0.1554,0
6,1,0.4136,4
7,6,0.2604,7
