,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7,s2_c8
s1_c0,0.0,16.0,9.0,6.0,154.0,0.0,16.0,32.0,5.0
s1_c1,144.0,0.0,20.0,0.0,0.0,0.0,5.0,0.0,4.0
s1_c2,20.0,2.0,14.0,1.0,1.0,0.0,0.0,16.0,66.0
s1_c3,0.0,230.0,39.0,5.0,29.0,0.0,5.0,8.0,7.0
s1_c4,0.0,5.0,125.0,6.0,1.0,0.0,8.0,37.0,55.0
s1_c5,16.0,1.0,5.0,0.0,8.0,0.0,68.0,5.0,24.0
s1_c6,0.0,0.0,0.0,0.0,6.0,45.0,13.0,11.0,0.0
s1_c7,0.0,13.0,3.0,96.0,51.0,0.0,8.0,0.0,32.0
s1_c8,0.0,1.0,3.0,0.0,43.0,0.0,3.0,113.0,21.0
