,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7
s1_c0,149.0,22.0,5.0,3.0,8.0,25.0,1.0,19.0
s1_c1,5.0,42.0,250.0,16.0,0.0,27.0,2.0,0.0
s1_c2,4.0,11.0,0.0,8.0,0.0,0.0,45.0,156.0
s1_c3,20.0,0.0,15.0,7.0,1.0,116.0,35.0,1.0
s1_c4,1.0,1.0,8.0,166.0,0.0,17.0,3.0,2.0
s1_c5,0.0,90.0,65.0,2.0,6.0,9.0,19.0,2.0
s1_c6,1.0,6.0,1.0,0.0,111.0,30.0,16.0,2.0
s1_c7,7.0,51.0,17.0,6.0,3.0,5.0,5.0,43.0
