cluster,reference_cluster,jaccard,block_position
0,5,0.1424,6
1,0,0.1672,5
2,7,0.4828,0
3,1,0.4179,4
4,6,0.2713,7
5,4,0.1917,1
6,2,0.071,3
7,3,0.4938,2
