,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7
s1_c0,35.0,16.0,29.0,12.0,8.0,5.0,21.0,26.0
s1_c1,30.0,30.0,5.0,60.0,223.0,9.0,34.0,37.0
s1_c2,13.0,7.0,18.0,23.0,56.0,5.0,10.0,4.0
s1_c3,41.0,8.0,8.0,43.0,4.0,6.0,51.0,14.0
s1_c4,39.0,4.0,21.0,6.0,19.0,93.0,14.0,6.0
s1_c5,25.0,82.0,3.0,25.0,9.0,1.0,4.0,19.0
s1_c6,36.0,7.0,153.0,8.0,10.0,1.0,1.0,7.0
s1_c7,22.0,13.0,17.0,21.0,6.0,5.0,32.0,80.0
