,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7,s2_c8,s2_c9
s1_c0,10.0,0.0,22.0,2.0,0.0,75.0,2.0,0.0,0.0,3.0
s1_c1,33.0,1.0,2.0,3.0,0.0,11.0,4.0,5.0,0.0,109.0
s1_c2,1.0,0.0,0.0,1.0,0.0,6.0,38.0,63.0,0.0,191.0
s1_c3,48.0,1.0,50.0,2.0,0.0,6.0,2.0,48.0,0.0,3.0
s1_c4,0.0,0.0,0.0,3.0,50.0,8.0,0.0,0.0,0.0,3.0
s1_c5,2.0,0.0,1.0,2.0,0.0,14.0,123.0,23.0,0.0,14.0
s1_c6,6.0,138.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s1_c7,18.0,0.0,1.0,96.0,0.0,16.0,5.0,1.0,0.0,12.0
s1_c8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0
s1_c9,0.0,0.0,0.0,122.0,0.0,21.0,23.0,1.0,0.0,70.0
