,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5
s1_c0,18.0,21.0,45.0,154.0,11.0,13.0
s1_c1,13.0,20.0,100.0,13.0,53.0,67.0
s1_c2,20.0,21.0,63.0,31.0,14.0,17.0
s1_c3,33.0,49.0,168.0,2.0,147.0,62.0
s1_c4,74.0,28.0,57.0,7.0,28.0,53.0
s1_c5,41.0,66.0,65.0,19.0,26.0,61.0
