k,n_clusters,n_dominated,frac_clusters,frac_electrodes,median_share
5,5,0,0.0,0.0,0.16666666666666666
6,6,0,0.0,0.0,0.21349838740276988
7,7,0,0.0,0.0,0.2222222222222222
8,8,1,0.125,0.05293775450843514,0.2319016477710826
9,9,1,0.1111111111111111,0.055846422338568937,0.26337448559670784
10,10,1,0.1,0.0506108202443281,0.2775692963752665
11,11,2,0.18181818181818182,0.12972658522396743,0.27167630057803466
12,12,3,0.25,0.17102966841186737,0.33655072463768115
13,13,3,0.23076923076923078,0.16870273414776032,0.38095238095238093
14,14,4,0.2857142857142857,0.19197207678883071,0.3718389285399595
15,15,6,0.4,0.31180919139034324,0.42727272727272725
16,16,6,0.375,0.2937754508435137,0.36285266457680254
17,17,6,0.35294117647058826,0.2257126236183828,0.38235294117647056
18,18,6,0.3333333333333333,0.2484002326934264,0.4107843137254902
19,19,8,0.42105263157894735,0.3089005235602094,0.4126984126984127
20,20,8,0.4,0.28970331588132636,0.44501466275659823
21,21,10,0.47619047619047616,0.3827806864456079,0.4810126582278481
22,22,8,0.36363636363636365,0.2670157068062827,0.429055963821368
23,23,8,0.34782608695652173,0.24316463059918558,0.37735849056603776
24,24,10,0.4166666666666667,0.2728330424665503,0.4707594235033259
25,25,10,0.4,0.3228621291448517,0.4418604651162791
26,26,13,0.5,0.36532867946480513,0.5195352839931153
27,27,15,0.5555555555555556,0.4997091332169866,0.5227272727272727
28,28,14,0.5,0.4246655031995346,0.4982625961777116
29,29,14,0.4827586206896552,0.3816172193135544,0.48333333333333334
30,30,15,0.5,0.418848167539267,0.52203182374541
