,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7,s2_c8
s1_c0,5.0,98.0,3.0,0.0,39.0,3.0,25.0,0.0,20.0
s1_c1,3.0,0.0,2.0,0.0,0.0,2.0,0.0,81.0,2.0
s1_c2,12.0,5.0,75.0,0.0,29.0,2.0,2.0,0.0,18.0
s1_c3,3.0,4.0,1.0,0.0,6.0,150.0,14.0,0.0,3.0
s1_c4,6.0,7.0,12.0,50.0,48.0,4.0,0.0,0.0,38.0
s1_c5,13.0,1.0,4.0,0.0,6.0,20.0,82.0,0.0,257.0
s1_c6,9.0,110.0,1.0,0.0,3.0,0.0,0.0,0.0,12.0
s1_c7,2.0,3.0,103.0,0.0,21.0,12.0,8.0,0.0,33.0
s1_c8,65.0,16.0,30.0,0.0,5.0,4.0,10.0,0.0,22.0
