,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5
s1_c0,4.0,13.0,3.0,1.0,36.0,205.0
s1_c1,4.0,217.0,28.0,14.0,2.0,1.0
s1_c2,12.0,8.0,10.0,14.0,88.0,34.0
s1_c3,0.0,14.0,15.0,334.0,97.0,1.0
s1_c4,171.0,1.0,40.0,13.0,17.0,5.0
s1_c5,18.0,4.0,224.0,7.0,19.0,6.0
