k,n_clusters,n_dominated,frac_clusters,frac_electrodes,median_share
5,5,0,0.0,0.0,0.265
6,6,0,0.0,0.0,0.28193910730121197
7,7,1,0.14285714285714285,0.04607206142941524,0.3313253012048193
8,8,3,0.375,0.31600708800945065,0.3621212121212121
9,9,3,0.3333333333333333,0.25044300059066743,0.3273809523809524
10,10,3,0.3,0.16243354991139988,0.3665326322301268
11,11,4,0.36363636363636365,0.2474896633195511,0.38461538461538464
12,12,4,0.3333333333333333,0.25812167749556997,0.37593457943925235
13,13,4,0.3076923076923077,0.21618428824571767,0.3988439306358382
14,14,6,0.42857142857142855,0.2817483756645009,0.4364476885644769
15,15,6,0.4,0.2876550502067336,0.4166666666666667
16,16,7,0.4375,0.2782043709391612,0.4110112359550562
17,17,9,0.5294117647058824,0.39751919669226227,0.52
18,18,12,0.6666666666666666,0.4583579444772593,0.6282894736842105
19,19,10,0.5263157894736842,0.3325457767277023,0.5652173913043478
20,20,8,0.4,0.35026580035440047,0.48380355276907006
21,21,13,0.6190476190476191,0.529238038984052,0.616822429906542
22,22,11,0.5,0.35262847017129356,0.5595238095238095
23,23,14,0.6086956521739131,0.44181925575900766,0.5555555555555556
24,24,14,0.5833333333333334,0.4607206142941524,0.6400401069518716
25,25,13,0.52,0.37802717070289427,0.6
26,26,16,0.6153846153846154,0.48316597755463675,0.6839080459770115
27,27,19,0.7037037037037037,0.5818074424099232,0.7222222222222222
28,28,19,0.6785714285714286,0.5256940342587123,0.7389368944749934
29,29,20,0.6896551724137931,0.5469580626107502,0.7708333333333334
30,30,19,0.6333333333333333,0.49970466627288834,0.7071428571428571
