cluster_1,cluster_2,r_centred,r_plain,matched
0,0,0.899845942714173,0.7495216247098477,True
0,1,-0.5266066459928701,0.7441608385362599,False
0,2,-0.6136245752686481,0.7276351314081653,False
0,3,-0.2447386235296028,0.4889194941677918,False
0,4,0.2826775616276578,0.25262277833766056,False
0,5,0.3604038695649166,0.5646676327743849,False
0,6,-0.14915372397875615,0.2921851975583355,False
0,7,-0.029757310882409644,0.3461364612296394,False
1,0,-0.3938408368818008,0.3082840089231742,False
1,1,0.45749337623446196,0.8546930385553849,False
1,2,0.9441277280984262,0.9849516493802472,True
1,3,0.1454138508126676,0.6220735240080131,False
1,4,-0.29406632941383554,0.1715777899643004,False
1,5,0.14338099518163966,0.5825940261110168,False
1,6,-0.3626441979494207,0.4161133636530875,False
1,7,-0.4380321913611442,0.23469603633737307,False
2,0,0.14910314500432792,0.35728068140832475,False
2,1,-0.04082833373852645,0.7279664066708955,False
2,2,-0.4511773974163962,0.5729717698053787,False
2,3,-0.06758296208972003,0.46885064428915413,False
2,4,-0.40387458616394184,-0.1463050571733703,False
2,5,-0.7157220051933004,-0.06431479610975285,False
2,6,0.2937345198454857,0.519542955682403,False
2,7,0.9361879653319004,0.8777960536359986,True
3,0,0.32715063619915824,0.4328971832599021,False
3,1,-0.6905187265189737,0.7426938622291482,False
3,2,-0.262766689555606,0.8732327138646976,False
3,3,-0.057177905720180944,0.5929614630674216,False
3,4,0.0666023639054317,0.15136483138094756,False
3,5,0.5634228445658348,0.6363733772103258,True
3,6,0.532196996453509,0.6090453710252078,False
3,7,-0.273142234505302,0.26672987659046277,False
4,0,-0.2495596854577331,0.1773531207530879,False
4,1,-0.334247378041866,0.6581406292799229,False
4,2,-0.06039313683151986,0.7566185754482221,False
4,3,0.9566153043330043,0.9489519168499951,True
4,4,-0.3707636682063095,-0.04653692739698855,False
4,5,0.11331881942454039,0.4548102936268905,False
4,6,0.08658455304092721,0.43991700851292354,False
4,7,-0.10458298386100688,0.28893971378836336,False
5,0,-0.5912802370577408,0.22605404779349425,False
5,1,0.6861902537517478,0.9328593409561241,True
5,2,0.6045367809324218,0.9221893585805483,False
5,3,-0.2139118477114573,0.5189537830150974,False
5,4,0.08897783073090532,0.3129302932149356,False
5,5,-0.13422198588307685,0.47449933843138353,False
5,6,-0.043066903102439165,0.5233165548081449,False
5,7,-0.270942938990842,0.3062551150401041,False
6,0,0.1200418769625527,0.30517544716144684,False
6,1,-0.25990587751872596,0.7103992607619452,False
6,2,-0.35959475829793586,0.682574561873303,False
6,3,-0.4833701655509084,0.24905577036530002,False
6,4,0.964297909417777,0.7891947176108833,True
6,5,0.4915254374325731,0.6578213605972081,False
6,6,0.10279508313239062,0.3845957834658882,False
6,7,-0.5079162211459349,-0.023254606812016656,False
7,0,-0.07822062538421887,0.3663355497694201,False
7,1,0.5311222887036003,0.9015211987203408,False
7,2,0.21034131683443058,0.8258552888760913,False
7,3,-0.08375107563924264,0.5337828105190856,False
7,4,-0.30537656356409904,0.09916357750147713,False
7,5,-0.5287964800434266,0.2679377393267583,False
7,6,-0.41202380033785385,0.3267584110025575,True
7,7,0.4698288056652893,0.5683768633029209,False
