,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7
s1_c0,4.0,6.0,56.0,12.0,40.0,18.0,17.0,51.0
s1_c1,31.0,8.0,25.0,8.0,13.0,16.0,24.0,52.0
s1_c2,89.0,0.0,6.0,5.0,2.0,4.0,7.0,17.0
s1_c3,13.0,87.0,3.0,6.0,20.0,6.0,3.0,39.0
s1_c4,1.0,1.0,6.0,71.0,4.0,7.0,3.0,9.0
s1_c5,2.0,41.0,39.0,120.0,61.0,40.0,34.0,54.0
s1_c6,93.0,9.0,26.0,12.0,38.0,15.0,10.0,59.0
s1_c7,1.0,3.0,39.0,6.0,16.0,68.0,15.0,33.0
