,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7
s1_c0,24.0,112.0,0.0,50.0,10.0,14.0,1.0,37.0
s1_c1,1.0,3.0,0.0,28.0,33.0,238.0,1.0,17.0
s1_c2,4.0,36.0,52.0,57.0,6.0,1.0,0.0,3.0
s1_c3,170.0,30.0,0.0,2.0,19.0,1.0,0.0,14.0
s1_c4,0.0,9.0,0.0,37.0,30.0,19.0,0.0,121.0
s1_c5,4.0,5.0,0.0,5.0,177.0,12.0,0.0,0.0
s1_c6,7.0,3.0,0.0,4.0,6.0,0.0,92.0,14.0
s1_c7,1.0,62.0,1.0,105.0,26.0,8.0,4.0,3.0
