,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5
s1_c0,41.0,135.0,61.0,135.0,4.0,45.0
s1_c1,10.0,85.0,68.0,48.0,25.0,42.0
s1_c2,18.0,52.0,12.0,8.0,200.0,7.0
s1_c3,74.0,48.0,19.0,17.0,3.0,48.0
s1_c4,31.0,76.0,44.0,40.0,23.0,59.0
s1_c5,10.0,54.0,28.0,32.0,1.0,21.0
