cluster,reference_cluster,jaccard,block_position
0,4,0.3121,1
1,6,0.1701,4
2,0,0.2857,6
3,5,0.5157,7
4,7,0.0783,5
5,3,0.6145,2
6,2,0.4155,3
7,1,0.4101,0
