cluster,reference_cluster,jaccard,block_position
0,6,0.7118,2
1,7,0.0272,7
2,1,0.3864,5
3,2,0.6988,0
4,4,0.4205,1
5,3,0.4257,3
6,5,0.4404,4
7,0,0.2657,6
