,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7
s1_c0,1.0,8.0,113.0,37.0,11.0,7.0,0.0,27.0
s1_c1,50.0,9.0,79.0,13.0,3.0,4.0,0.0,19.0
s1_c2,13.0,105.0,1.0,3.0,0.0,0.0,0.0,8.0
s1_c3,3.0,2.0,1.0,5.0,151.0,14.0,0.0,1.0
s1_c4,7.0,0.0,5.0,0.0,2.0,0.0,81.0,7.0
s1_c5,12.0,0.0,6.0,7.0,26.0,79.0,0.0,261.0
s1_c6,28.0,113.0,4.0,41.0,2.0,37.0,0.0,37.0
s1_c7,4.0,7.0,22.0,101.0,2.0,0.0,0.0,45.0
