,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7,s2_c8,s2_c9
s1_c0,5.0,0.0,8.0,11.0,38.0,45.0,14.0,21.0,5.0,27.0
s1_c1,8.0,7.0,7.0,22.0,11.0,0.0,27.0,39.0,38.0,30.0
s1_c2,0.0,0.0,5.0,13.0,7.0,63.0,7.0,7.0,6.0,24.0
s1_c3,20.0,4.0,1.0,169.0,49.0,4.0,22.0,12.0,6.0,26.0
s1_c4,1.0,0.0,57.0,2.0,9.0,0.0,7.0,6.0,10.0,16.0
s1_c5,9.0,0.0,15.0,8.0,20.0,1.0,14.0,5.0,30.0,43.0
s1_c6,2.0,4.0,1.0,0.0,0.0,104.0,5.0,9.0,7.0,18.0
s1_c7,76.0,3.0,1.0,10.0,9.0,9.0,5.0,9.0,2.0,32.0
s1_c8,0.0,82.0,0.0,4.0,2.0,1.0,2.0,2.0,0.0,1.0
s1_c9,2.0,0.0,3.0,1.0,22.0,1.0,22.0,15.0,76.0,21.0
