half,block_position,reference_cluster,solution,jaccard,others_best
feature_set,0,7,HG,0.4114,0.5767
feature_set,0,7,15 bands,0.6684,0.5767
feature_set,0,7,5 bands,1.0,0.5767
feature_set,0,7,"5 bands, z",0.7429,0.5767
feature_set,1,4,HG,0.1686,0.4947
feature_set,1,4,15 bands,0.4212,0.4947
feature_set,1,4,5 bands,1.0,0.4947
feature_set,1,4,"5 bands, z",0.3467,0.4947
feature_set,2,3,HG,0.4071,0.5497
feature_set,2,3,15 bands,0.7091,0.5497
feature_set,2,3,5 bands,1.0,0.5497
feature_set,2,3,"5 bands, z",0.68,0.5497
feature_set,3,2,HG,0.0571,0.3926
feature_set,3,2,15 bands,0.5536,0.3926
feature_set,3,2,5 bands,1.0,0.3926
feature_set,3,2,"5 bands, z",0.3823,0.3926
feature_set,4,1,HG,0.4176,0.4164
feature_set,4,1,15 bands,0.4647,0.4164
feature_set,4,1,5 bands,1.0,0.4164
feature_set,4,1,"5 bands, z",0.4821,0.4164
feature_set,5,0,HG,0.3418,0.4426
feature_set,5,0,15 bands,0.0336,0.4426
feature_set,5,0,5 bands,1.0,0.4426
feature_set,5,0,"5 bands, z",0.5714,0.4426
feature_set,6,5,HG,0.1469,0.2359
feature_set,6,5,15 bands,0.6856,0.2359
feature_set,6,5,5 bands,1.0,0.2359
feature_set,6,5,"5 bands, z",0.0174,0.2359
feature_set,7,6,HG,0.2708,0.2882
feature_set,7,6,15 bands,0.6425,0.2882
feature_set,7,6,5 bands,1.0,0.2882
feature_set,7,6,"5 bands, z",0.2671,0.2882
algorithm,0,1,convex NMF,1.0,0.5429
algorithm,0,1,k-means,0.5519,0.5429
algorithm,0,1,Ward,0.5067,0.5429
algorithm,1,3,convex NMF,1.0,0.4373
algorithm,1,3,k-means,0.3766,0.4373
algorithm,1,3,Ward,0.263,0.4373
algorithm,2,2,convex NMF,1.0,0.6798
algorithm,2,2,k-means,0.5324,0.6798
algorithm,2,2,Ward,0.588,0.6798
algorithm,3,5,convex NMF,1.0,0.3578
algorithm,3,5,k-means,0.2761,0.3578
algorithm,3,5,Ward,0.4312,0.3578
algorithm,4,4,convex NMF,1.0,0.6473
algorithm,4,4,k-means,0.6917,0.6473
algorithm,4,4,Ward,0.6826,0.6473
algorithm,5,7,convex NMF,1.0,0.0915
algorithm,5,7,k-means,0.0194,0.0915
algorithm,5,7,Ward,0.1903,0.0915
algorithm,6,0,convex NMF,1.0,0.374
algorithm,6,0,k-means,0.5519,0.374
algorithm,6,0,Ward,0.2724,0.374
algorithm,7,6,convex NMF,1.0,0.3643
algorithm,7,6,k-means,0.6,0.3643
algorithm,7,6,Ward,0.2814,0.3643
