cluster,reference_cluster,jaccard,block_position
0,3,0.1402,4
1,2,0.1201,3
2,8,0.4526,2
3,9,0.3922,7
4,5,0.2397,1
5,1,0.7041,9
6,0,0.3893,10
7,6,0.2738,0
8,10,0.36,8
9,4,0.125,6
10,7,0.1692,5
