cluster,reference_cluster,jaccard,block_position
0,4,0.418,1
1,5,0.513,7
2,0,0.2604,6
3,7,0.0258,5
4,6,0.1647,4
5,3,0.7443,2
6,1,0.347,0
7,2,0.4423,3
