,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5
s1_c0,150.0,32.0,0.0,1.0,13.0,66.0
s1_c1,2.0,16.0,100.0,75.0,29.0,44.0
s1_c2,20.0,39.0,11.0,6.0,1.0,89.0
s1_c3,0.0,363.0,3.0,49.0,10.0,36.0
s1_c4,7.0,26.0,0.0,59.0,111.0,44.0
s1_c5,1.0,10.0,0.0,103.0,7.0,157.0
